FROM,SOURCE_LOCATION,TO,TARGET_LOCATION,WEIGHT,TYPE,PERIOD
Alexandreia,Alexandreia,Assos,Assos,3,ESC,10
Alexandreia,Alexandreia,Anemorion,Anemorion,1,ESC,10
Alexandreia,Alexandreia,Apollo_Smintheion,Apollo_Smintheion,1,ESC,10
Alexandreia,Alexandreia,Tel_Anafa,Tel_Anafa,2,ESC,10
Alexandreia,Alexandreia,Troia/Ilion,Troia/Ilion,1,ESC,10
Alexandreia,Alexandreia,Athens,Athens,1,ESC,10
Alexandreia,Alexandreia,Ephesos,Ephesos,1,ESC,10
Amorion,Amorion,Apollo_Smintheion,Apollo_Smintheion,1,ESC,10
Amorion,Amorion,Assos,Assos,1,ESC,10
Amorion,Amorion,Paphos,Paphos,1,ESC,10
Amorion,Amorion,Troia/Ilion,Troia/Ilion,1,ESC,10
Amygdalea,Amygdalea,Anemorion,Anemorion,1,ESC,10
Amygdalea,Amygdalea,Apollo_Smintheion,Apollo_Smintheion,1,ESC,10
Amygdalea,Amygdalea,Argos,Argos,1,ESC,10
Amygdalea,Amygdalea,Assos,Assos,1,ESC,10
Amygdalea,Amygdalea,Athens,Athens,1,ESC,10
Amygdalea,Amygdalea,Ephesos,Ephesos,1,ESC,10
Amygdalea,Amygdalea,Knossos,Knossos,1,ESC,10
Amygdalea,Amygdalea,Stobi,Stobi,1,ESC,10
Anemorion,Anemorion,Apollo_Smintheion,Apollo_Smintheion,2,ESC,10
Anemorion,Anemorion,Assos,Assos,2,ESC,10
Anemorion,Anemorion,Tel_Anafa,Tel_Anafa,1,ESC,10
Anemorion,Anemorion,Troia/Ilion,Troia/Ilion,1,ESC,10
Anemorion,Anemorion,Argos,Argos,1,ESC,10
Anemorion,Anemorion,Athens,Athens,1,ESC,10
Anemorion,Anemorion,Ephesos,Ephesos,1,ESC,10
Anemorion,Anemorion,Knossos,Knossos,1,ESC,10
Anemorion,Anemorion,Stobi,Stobi,1,ESC,10
Apollo_Smintheion,Apollo_Smintheion,Assos,Assos,16,ESC,10
Apollo_Smintheion,Apollo_Smintheion,Paphos,Paphos,3,ESC,10
Apollo_Smintheion,Apollo_Smintheion,Troia/Ilion,Troia/Ilion,7,ESC,10
Apollo_Smintheion,Apollo_Smintheion,Tel_Anafa,Tel_Anafa,1,ESC,10
Apollo_Smintheion,Apollo_Smintheion,Argos,Argos,5,ESC,10
Apollo_Smintheion,Apollo_Smintheion,Athens,Athens,3,ESC,10
Apollo_Smintheion,Apollo_Smintheion,Ephesos,Ephesos,4,ESC,10
Apollo_Smintheion,Apollo_Smintheion,Knossos,Knossos,2,ESC,10
