source,source_location,target,target_location,WEIGHT,TYPE,PERIOD,source_coordinates,source_address,target_coordinates,target_address
Alexandreia,Alexandreia,Assos,Assos,3,ESC,10,POINT (22.4510895 40.6285651),"Αλεξάνδρεια, 59300, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, Ελλάς",POINT (26.336369194593825 39.48894145),"Assos, İskele Köyü Yolu, İskele Köyü Yolu, Ayvacık, Çanakkale, Türkiye"
Alexandreia,Alexandreia,Anemorion,Anemorion,1,ESC,10,POINT (22.4510895 40.6285651),"Αλεξάνδρεια, 59300, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, Ελλάς",POINT (32.80393198906313 36.023994349999995),"Anamurium, Toki Sokak, 33630, Toki Sokak, Anamur, Mersin, Türkiye"
Alexandreia,Alexandreia,Apollo_Smintheion,Apollo_Smintheion,1,ESC,10,POINT (22.4510895 40.6285651),"Αλεξάνδρεια, 59300, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, Ελλάς",POINT EMPTY,
Alexandreia,Alexandreia,Tel_Anafa,Tel_Anafa,2,ESC,10,POINT (22.4510895 40.6285651),"Αλεξάνδρεια, 59300, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, Ελλάς",POINT EMPTY,
Alexandreia,Alexandreia,Troia/Ilion,Troia/Ilion,1,ESC,10,POINT (22.4510895 40.6285651),"Αλεξάνδρεια, 59300, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, Ελλάς",POINT (23.2963196 42.7091132),"ж.к. Света Троица, 1309, София, Бългaрия"
Alexandreia,Alexandreia,Athens,Athens,1,ESC,10,POINT (22.4510895 40.6285651),"Αλεξάνδρεια, 59300, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, Ελλάς",POINT (-83.376398 33.9597677),"Athens, Georgia, United States"
Alexandreia,Alexandreia,Ephesos,Ephesos,1,ESC,10,POINT (22.4510895 40.6285651),"Αλεξάνδρεια, 59300, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, Ελλάς",POINT (16.36523914798027 48.205654100000004),"Ephesos-Museum, Heldenplatz, 1010, Heldenplatz, Wien, Österreich"
Amorion,Amorion,Apollo_Smintheion,Apollo_Smintheion,1,ESC,10,POINT (31.296057506091945 39.0231965),"Amorium, Hisarköy, Afyonkarahisar, Türkiye",POINT EMPTY,
Amorion,Amorion,Assos,Assos,1,ESC,10,POINT (31.296057506091945 39.0231965),"Amorium, Hisarköy, Afyonkarahisar, Türkiye",POINT (26.336369194593825 39.48894145),"Assos, İskele Köyü Yolu, İskele Köyü Yolu, Ayvacık, Çanakkale, Türkiye"
Amorion,Amorion,Paphos,Paphos,1,ESC,10,POINT (31.296057506091945 39.0231965),"Amorium, Hisarköy, Afyonkarahisar, Türkiye",POINT (32.49720079188586 34.9170582),"Πάφος, Κύπρος, Κύπρος - Kıbrıs"
Amorion,Amorion,Troia/Ilion,Troia/Ilion,1,ESC,10,POINT (31.296057506091945 39.0231965),"Amorium, Hisarköy, Afyonkarahisar, Türkiye",POINT (23.2963196 42.7091132),"ж.к. Света Троица, 1309, София, Бългaрия"
