StoreId,Author,Title,Period,Abstract,Year,DegYear,Degree,Country.x,School_Name,Department,Department_Strd,Keywords_Ext,n,City,State,lat,lng,Country.y
748286088,"Rene, Helena Kate","A long march to the countryside and back: The Chinese Cultural Revolution, bureaucracy, and rustication",Contemporary,"My overall research question is what roles did public administration and bureaucracy play in implementing the Up to the Mountains and Down to the Countryside program of the Chinese Cultural Revolution? Also known as the rustication or sent-down program, it lasted from 1968 to 1980 and transferred 17 million urban Chinese youth to rural villages, state and military farms, and Inner Mongolian grasslands. Its intent was to reeducate sent-downs through the study of Chinese Communist Party (CCP) Chairman Mao Zedong Thought, integration into peasant life or military organization, and tempering through hard physical labor. The research is based primarily on extensive interviews of 44 former sent-downs who subsequently returned to the cities. It frames rustication as part of a longstanding struggle within the CCP between two competing visions for China's economic development: Mao and his supporters' desire to base it on Marxian principles versus those who viewed techno-rational bureaucratic organization as central to growth. The research examines the inception, organization, administrative culture, and operation of the rustication bureaucracy. It concentrates on how urban youth were induced to comply with the program, transported, resettled, integrated into daily life and work at their destinations, and eventually returned to the cities. It also investigates differences in the experiences of male and female sent-downs. Among my main conclusions are that the rustication program was: 1) highly efficient on the sending side, but less so on the receiving end. 2) associated with a substantial change in China's administrative culture in which guanxi (reliance on relationships and corruption to gain favorable discretionary decisions) went from infrequent to standard operating procedure, especially as sent-downs became eligible for return to the cities. 3) harsher on female sent-downs, who were highly vulnerable to sexual violence and predation, and under social and work pressures to marry local residents. and 4) related to the growth of administrative discretion and privilege. I further conclude that whereas the sent-downs were tempered, the effects of reeducation in the countryside were somewhat counterproductive. Ironically, rustication promoted some types of bureaucratic behavior that the Cultural Revolution was intended to destroy.",2010,2010,Ph.D.,United States,American University,NA,NA,"History, Asian Studies, Public administration, Public policy, Bureaucracy, China, Cultural Revolution, Mao, Zedong, Rustication, Rustication program, Up to the Mountains and Down to the Countryside",2,Washington D.C.,District of Columbia,38.9047,-77.0163,United States
746802863,"Su, Yi-Yuan",Potential development of a Southeast Asia Regional Economic Integration Organization as a strategy for expanding regional cooperation under the global climate change regime,Contemporary,"The countries of Southeast Asia have abundant, cross-boarder natural resources and face common adverse impacts of climate change. However, the collective behavior of the Group 77 during global climate negotiations cannot represent the best interests of Southeast Asian countries. Responding to these regional concerns is one of the major goals of the Asia Regional Economic Integration Organization (REIO) proposal. This dissertation proposes that Southeast Asian countries use an independent organization, called an Asia REIO, to represent their best interest during the climate negotiations. This Asia REIO is a joint implementation measure to mitigate GHG emissions of the developing countries in Southeast Asia. This initial proposal envisions the Asia REIO as a credit generating and supply market with transparent information and effective regulation. When the Asia REIO mature enough, it would be able to upgrade from a REIO format to a joint fulfillment agreement, in which Southeast Asia countries can take physical reduction commitments under the Protocol and perform as an Asia Bubble under the climate change regime. To become a Bubble Party, the Asia REIO should: (1) improve information accuracy on emission inventory by using new and additional financial resources. (2) develop regional policies and measures for an Asia REIO. (3) promote regional flexible mechanisms standards. (4) establish a CDM exchange market for investment and trading. (5) establish a single CDM market' and finally (6) select emission reduction commitments to trigger the group participation in the Asia Bubble. In order to encourage widespread participation in the post-2012 framework, Appendix II discusses the possibility of Taiwan's membership in the proposed Asian Bubble, without violating the current political status quo between Taiwan and the People's Republic of China (PRC).",2009,2009,S.J.D.,United States,American University,NA,NA,"History, Law, Climate Change, International law, Bubble, China, Climate change, Kyoto Protocol, Regional cooperation, Southeast Asia Regional Economic Integration Organization, Taiwan, UNFCCC",2,Washington D.C.,District of Columbia,38.9047,-77.0163,United States
304332810,"Chen, Maa-ling","Settlement patterns, subsistence systems and their changes in Kenting National Park during O-luan-pi Phases III and IV",Contemporary,"From the perspective of adaptation, diversification in resource exploitation and subsistence activities is a stable, generalized strategy. In contrast, focusing on a few favorable resources and certain subsistence activities is a relatively unstable specialized strategy. A shift in subsistence from a generalized to a specialized system generally involves certain adaptation mechanisms. Changes in subsistence systems between O-luan-pi Phase III (ca. 3500-3000 B.P.) and O-luan-pi Phase IV (ca. 3000-2000 B.P.) in Kenting National Park on the southern tip of Taiwan are evidenced by a shift from fishing, gathering, hunting and small-scale cultivation to a system more dependent on cultivation. This shift correlates with a change in settlement patterns and an increase in the number of habitation sites with migration of populations to previously unhabitated areas. This increase in food production and associated settlement pattern changes in the coastal area of Kenting National Park presents a interesting question: Why did cultivation exist--even increase--and the subsistence system change from a diverse to a specialized strategy in a coastal area with stable, plentiful marine resources? The main purpose of this study is to develop a better chronology, and establish detailed knowledge, of settlement patterns and subsistence systems in this study period, and to confirm previous studies in this area. By studying subsistence systems through time and the mechanisms involved in their change, the understanding of the processes of adaptation and development of agriculture in a coastal area might be obtained. Environmental changes, population growth, and socio-political factors have been suggested as the main factors influencing the development of increased food production. Because of the difficulty of measuring socio-political factors archaeologically, environmental changes and population variation are the two factors that directed this study to understand the mechanism of a subsistence strategy and the processes of its change. Settlement pattern and dietary system two aspects were approached in this research to achieve the goal. An intensive survey on a regional scale and restricted excavations in selected sites have been carried out to fulfill the requirements of the present study. Data such as: artifacts (especially ceramics), site size, site type, site location, site number, demographic variables, environmental resources, soil samples, and food deposits were collected.",1997,1997,Ph.D.,United States,Arizona State University,NA,NA,"Archaeology, History, Cultural anthropology, China, Taiwan",7,Tempe,Arizona,33.3881,-111.9319,United States
1680586258,"Cheung, Hiu Yu",Sequence of Power Ritual Controversy over the Zhaomu  Sequence in Imperial Ancestral Rites in Song China (960-1279),Medieval,"This dissertation explores the history of ancestral rituals and the related political controversy in the Song China (960-1279). Considering the pivotal role played by ancestral rites in shaping Chinese identity and consciousness, this study contributes to a better understanding of how ancestral ritual has been politicized in Chinese history as a specific cultural apparatus to manipulate politics through theatrical performance and liturgical discussion. Through a contextual analysis of a variety of Song scholar-officials and their ritual writings, including memorials, private letters, and commentaries on the ritual Classics, this study demonstrates that Song ritual debates over the zhaomu [special characters omitted] sequence—that is, the positioning of ancestral temples and spirit tablets in ancestral temples with preparation for alternation or removal—differentiated scholar-officials into separate factions of revivalists, conventionalists and centrists. From a new perspective of ritual politics, this study reveals the discursiveness of the New Learning ( xinxue [special characters omitted]) community and its profound influence on the Learning of the Way ( Daoxue [special characters omitted]) fellowship of the Southern Song (1127-1279). It examines the evolution of the New Learning fellowship as a dynamic process that involved internal tension and differentiation. Daoxue ritualism was a continuation of this process in partaking in the revivalist approach of ritual that was initiated by the New Learning circle. Nowadays, the proliferation of ritual and Classical studies crystallizes the revitalization of Confucianism and Confucian rituals in China. Taking zhaomu as a point of departure, this project provides a lens through which modern scholars can explore the persistent tension between knowledge and power by rethinking the modernization of ritual and ritual politics in contemporary China.",2015,2015,Ph.D.,United States,Arizona State University,History,History,"Asian History, Classical Studies, Ancestral ritual, Filial piety, Meritocracy, Ritual politics, Song ritualism, The zhaomu sequence",7,Tempe,Arizona,33.3881,-111.9319,United States
1277718853,"Chao, Jacqueline",Chen Rong and the Transformation of Nine Dragons,Medieval,"This dissertation is the first detailed and extensive study dedicated to the life and art of the master artist and scholar-official Chen Rong (active 13th century), and offers an expanded analysis of his most famous work, the Nine Dragons scroll (1244). It provides a reconstruction of Chen Rong's biography, character and political career, and discusses his significance and impact in the study of Chinese painting during the late Southern Song dynasty (1127-1279) and beyond, by highlighting the reception and interpretation of the Nine Dragons scroll in the past and in modern times. This is achieved by addressing writings such as eulogies, poems and commentary about Chen Rong by his contemporaries and later biographers, and also analysis of recent works by contemporary Chinese artists that reinterpret Chen Rong's Nine Dragons motif directly. In addition to offering an expanded reading and interpretation of Chen Rong's inscriptions on the Nine Dragons scroll and inscriptions by subsequent viewers of the scroll, this study sheds light on the artistic context, significance, and historical development of dragons and dragon painting in China. This dissertation also offers the first full English transcription and translation of Emperor Qianlong's inscription on the Nine Dragons scroll, and that of his eight officials. Furthermore, this dissertation includes two detailed appendices. one is a detailed appendix of all of Chen Rong's paintings documented to exist today, and the second is a list of paintings attributed to Chen Rong that have been mentioned in historical documents that no longer appear extant. This interdisciplinary study provides insight into the processes that influence how an artist's work is transformed beyond his time to that of legendary status. This clarification of Chen Rong's biography and artistic activity, particularly with respect to his most famous work the Nine Dragons scroll, contributes to modern scholarship by providing an expanded understanding of Chen Rong's life and art, which in turn, adjusts prevailing perceptions of his life and work.",2012,2012,Ph.D.,United States,Arizona State University,Art History,Art History,"Biographies, History, Fine arts, Art history, Chen, Rong, China, Chinese painting, Contemporary Chinese art, Literati painting, Nine Dragons, Song dynasty",7,Tempe,Arizona,33.3881,-111.9319,United States
2230000000,"Greene, Carolyn Ann","Politics and Patronage: A Re-examination of Late Qing Dynasty Porcelain, 1850-1920",Contemporary,"Art historians typically consider Chinese porcelain a decorative art, resulting in scholars spending little time analyzing it as a fine art form. One area that is certainly neglected is porcelain produced during the late 19th and early 20th century during the late Qing dynasty (1644–1911) into the early Republic period (1912–1949). As the Qing dynasty weakened and ultimately fell in 1911, there was a general decline in the quantity of porcelain produced in China. Due to this circumstance, porcelain of this era has not received the detailed analysis, characterization of styles, comprehension of themes, and understanding of patronage evident in other periods of Chinese porcelain production. Ultimately, limited research has been conducted to establish the styles associated with late dynastic porcelain into the early Republic’s establishment. This dissertation utilizes a new perspective that considers the patronage of the Empress Dowager Cixi (1835–1908) as a high point of late dynastic porcelain.  Concrete documentation establishes that motifs were appropriated from Cixi’s painting, suggesting a direct connection between schools of painting and the imagery selected for porcelain during her reign. The porcelain Cixi influenced directly guided the porcelain produced during the Hongxian era (1915–1916), making Cixi’s patronage the key turning point from dynastic porcelain to early Republic porcelain. Utilizing predominately British collections, this study identifies the styles, symbols, and themes associated with porcelain of the 19th and 20th century, elevating late dynastic and early Republic wares to the status of fine art.",2019,2019,Ph.D.,United States,Arizona State University,Art History,Art History,"Communication and the arts, Social sciences, Empress Dowager Cixi, Patronage, Porcelain, Qing, Republic, Shikai, Yuan,",7,Tempe,Arizona,33.3881,-111.9319,United States
304790345,"Lynass, Kathryn Rose",Leading British periodicals on East Asia: 1870–1911,Contemporary,"Historians have often dismissed nineteenth-century British elites as racist or imperialist without attempting to understand what they meant by race or empire. This is evident in recent post-colonial and area studies, especially those that focus on gender, class, and culture in the British Empire. By taking into account the British use of “race” and “empire,” late-Victorian and Edwardian assumptions and imperial preoccupations become clearer. Analyzing what was written in leading British periodicals about East Asia from 1870 to 1911 helps reveal a good deal about these assumptions. This dissertation looks at six leading periodicals covering the British political spectrum from right to left for the period, namely Blackwood's Edinburgh Magazine, The Quarterly Review, The Edinburgh Review, The Fortnightly Review, The Nineteenth Century , and The Westminster Review . Also examined are The Asiatic Quarterly Review, The China Review , and The Japan Weekly Mail . Quantitative and qualitative analysis of hundreds of articles and thousands of references about East Asia, appearing in six leading periodicals published in Britain and three focusing on Asia, demonstrate the remoteness of the “Far East” to the British Empire, and the marginal strategic and commercial importance East Asia held as Britain's global hegemony was challenged throughout the world. Analyzing these periodicals shows how British writings about the crumbling Chinese Empire, the rising Japanese Empire, and the occupation of the Korean peninsula are much too complex to be reduced to mere racism and imperialism. The upheaval in India of the 1850s challenged Victorian thinking about formal empire, while events in East Asia upset Edwardian thinking of informal empire. The Sino-Japanese War, the riots in China that culminated in the uprising of the Boxers, and the decrease of British influence throughout East Asia eventually led some Edwardians to question their previous insistence on others following in their footsteps. Such discernment recognized that it was possible to be modern without being British or Western. Japan found its own path to modernity by adapting European methods to its own traditions. Japan's defeat of Russia in 1905 made that point emphatically. Even before Britain focused its attention on Europe during World War I, China, Japan, and Korea sought modernity increasingly on their own terms.",2002,2002,Ph.D.,United States,Arizona State University,NA,NA,"European history, History, British and Irish literature, Mass media, British, China, East Asia, Empire, Japan, Korea, Periodicals, Race",7,Tempe,Arizona,33.3881,-111.9319,United States
1899474437,"Bussio, Jennifer J.",Neither Dust nor Gold: A Comprehensive Study of the Dadao School from 1115-1398,Medieval,"During the twelfth century, three new schools of Daoism were founded in North China: Quanzhen (Complete Perfection), Taiyi (Supreme Unity), and Dadao (Great Way). While Quanzhen has received much scholarly attention, the others have been largely ignored. By focusing on just one school—Dadao—as in depth as possible and within the historical context, I hope to elucidate the flourishing state of Daoism in North China during the twelfth through fourteenth centuries beyond just the activity of the Quanzhen school. To that end, I have amassed sixteen inscriptions and records, as well as reconstructed one inscription previously incomplete, and added them to the eleven inscriptions and records published in the Daojia jinshi lüe and the three pieces of Yuan-dynasty poetry and prose contained in the Nan Song chu Hebei xin Daojiao kao. This has doubled the available source material. Most of these have been previously published individually, but have never been studied in conjunction with the other known Dadao texts. The result is the most comprehensive study of the school in over seventy-five years, in which I also present a new understanding of the school’s founder, how the lineages developed, and the school’s ultimate fate. The portrait of the school which emerges from this dissertation challenges the notion that Dadao was nothing more than a minor variation of the Quanzhen school or is otherwise unworthy of scholarly attention.",2017,2017,Ph.D.,United States,Arizona State University,East Asian Languages and Civilizations,East Asian Studies,"Religion, History, Asian Studies, China, Dadao, Daoism, Jin dynasty, Religion, Yuan dynasty",7,Tempe,Arizona,33.3881,-111.9319,United States
2705686827,"Chik, Hin Ming Frankie",Imagined Confucian Legacy: Manufacturing “Chinese” Civilizational Consciousness in Pre-Tang China,Pre-modern,"This dissertation discusses how Confucianism was invented as the basis for cultural identity of East Asia and how the “Confucian” Classics were circulated and translated in and beyond China proper. Penetrating the compelling forces behind four well-known and widely used texts—the Shijing, the Hanshu, the Shuowen jiezi, and the Erya—in relation to the power dynamics and negotiations among their writers and others in their times, this dissertation follows two tracks. The first investigates how the Classics—which were shared heritages in the pre-Han period (<202 B.C.E.)—became Confucian cultural capital, on the one hand, and how Confucius and his followers were described as authoritative transmitters of ancient culture and martyrs on orders from “anti-traditional” emperors (such as the China’s first Emperor, Qin Shihuangdi), on the other hand. These four early texts, therefore, set forth the framework within which later Confucian intellectuals studied the Classics and the ancient knowledge therein, and also understood their relationship with state power. The second track explores these texts’ Sinocentric and pedantic attitude toward the circulation of the Confucian Classics among people and cultural “Others” who lacked training in the archaic language of the Classics. Nowadays, in light of the fact that the Confucian Classics have become required texts in the curriculum of national learning in the People's Republic of China (PRC), this dissertation provides a lens through which one can see more clearly how Confucianism becomes part of nation building, even in the contemporary world.",2022,2022,Ph.D.,United States,Arizona State University,East Asian Languages and Civilizations,East Asian Studies,NA,7,Tempe,Arizona,33.3881,-111.9319,United States
892727771,"Kim, Sukjoo",Liang Fa's Quanshi liangyan and Its Impact on the Taiping Movement,Contemporary,"Scholars of the Taiping Movement have assumed that Liang Fa's Quanshi liangyan ( Good Words to Admonish the Age, being Nine Miscellaneous Christian Tracts ) greatly influenced Hong Xiuquan, but very little has been written on the role of Liang's work. The main reason is that even though hundreds of copies were distributed in the early nineteenth century, only four survived the destruction which followed the failure of the Taiping Movement. This dissertation therefore explores the extent of the Christian influence of Liang's nine tracts on Hong and the Taiping Movement. This study begins with an introduction to China in the nineteenth century and the early missions of western countries in China. The second chapter focuses on the life and work of Liang. His religious background was in Confucianism and Buddhism, but when he encountered Robert Morrison and William Milne, he identified with Christianity. The third chapter discusses the story of Hong especially examining Hong's acquisition of Liang's Quanshi liangyan and Hong's revelatory dream, both of which serve as motives for the establishment of the Society of God Worshippers and the Taiping Movement. The fourth chapter develops Liang's key ideas from his Quanshi liangyan and compares them with Hong's beliefs, as found in official documents of the Taipings. The fifth chapter describes Hong's beliefs and the actual practices of the Taiping Movement and compares them with Liang's key ideas. Even if Hong and his leaders received the new ideas of Christianity, they compromised their traditional culture. Furthermore, they tried not only to combine Chinese culture with Christianity, but also to believe in Christianity as far as they could understand it. This study finds that even though the Quanshi liangyan may have given the Taiping Movement its religious form and driving force, the theological vision of both Liang and Hong also emerged from their Chinese culture, which energized the Taipings. The Taiping Movement resulted from a deliberate synthesis of Christian ideas and native Chinese practices.",2011,2011,Ph.D.,United States,Baylor University,Religion,Religious Studies,"Religious history, History, China, Christianity, Hong Xiuquan, Liang Fa, Quanshi liangyan, Taiping",1,Waco,Texas,31.5599,-97.1882,United States
