source,target,source_coordinates,target_coordinates,keywords,source_university,target_university
"Su, Yi-Yuan","Chen, Maa-ling",POINT (-77.0163 38.9047),POINT (-111.9319 33.3881),taiwan,American University,Arizona State University
"Su, Yi-Yuan","Park, Sun Sook",POINT (-77.0163 38.9047),POINT (-71.2423 42.3889),taiwan,American University,Brandeis University
"Su, Yi-Yuan","Lin, Eric Y.J.",POINT (-77.0163 38.9047),POINT (-117.7153 34.1259),taiwan,American University,Claremont Graduate University
"Su, Yi-Yuan","Gronewold, Sue Ellen",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943),taiwan,American University,Columbia University
"Su, Yi-Yuan","Khu, Josephine Meihui Tiampo",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943),taiwan,American University,Columbia University
"Su, Yi-Yuan","Kung, Chien Wen",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943),taiwan,American University,Columbia University
"Su, Yi-Yuan","Tinn, Hong-Hong",POINT (-77.0163 38.9047),POINT (-76.5032 42.4442),taiwan,American University,Cornell University
"Su, Yi-Yuan","Wen, Shuang",POINT (-77.0163 38.9047),POINT (-77.0163 38.9047),taiwan,American University,Georgetown University
"Su, Yi-Yuan","Lin, Catherine Kai-Ping",POINT (-77.0163 38.9047),POINT (-77.0163 38.9047),taiwan,American University,Georgetown University
"Su, Yi-Yuan","Wicentowski, Joseph Charles",POINT (-77.0163 38.9047),POINT (-71.1185 42.3759),taiwan,American University,Harvard University
"Su, Yi-Yuan","Chang, Lung-chih",POINT (-77.0163 38.9047),POINT (-71.1185 42.3759),taiwan,American University,Harvard University
"Su, Yi-Yuan","Wang, Dan",POINT (-77.0163 38.9047),POINT (-71.1185 42.3759),taiwan,American University,Harvard University
"Su, Yi-Yuan","Matsuzaki, Reo",POINT (-77.0163 38.9047),POINT (-71.1185 42.3759),taiwan,American University,Massachusetts Institute of Technology
"Su, Yi-Yuan","Chen, Lu-huei",POINT (-77.0163 38.9047),POINT (-84.4836 42.748),taiwan,American University,Michigan State University
"Su, Yi-Yuan","Pellegrin, Charles John",POINT (-77.0163 38.9047),POINT (-88.79410573135954 33.45441314606764),taiwan,American University,Mississippi State University
"Su, Yi-Yuan","Lu, Ming-che",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943),taiwan,American University,The New School
"Su, Yi-Yuan","Chen, Ya-Ping",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943),taiwan,American University,New York University
"Su, Yi-Yuan","Chang, Ivy I-chu",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943),taiwan,American University,New York University
"Su, Yi-Yuan","Miao, Yen-Wei",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943),taiwan,American University,New York University
"Su, Yi-Yuan","Lin, Hsu-Ta",POINT (-77.0163 38.9047),POINT (-74.6693 40.3562),taiwan,American University,Princeton University
"Su, Yi-Yuan","Shirane, Seiji",POINT (-77.0163 38.9047),POINT (-74.6693 40.3562),taiwan,American University,Princeton University
"Su, Yi-Yuan","Tavares, Antonio C.",POINT (-77.0163 38.9047),POINT (-74.6693 40.3562),taiwan,American University,Princeton University
"Su, Yi-Yuan","Veteri, Frank James",POINT (-77.0163 38.9047),POINT (-73.7976 40.7498),taiwan,American University,St. John's University
"Su, Yi-Yuan","Shih, Shu-ching",POINT (-77.0163 38.9047),POINT (-73.7976 40.7498),taiwan,American University,St. John's University
"Su, Yi-Yuan","Chen, Shu-Juo",POINT (-77.0163 38.9047),POINT (-122.1674 37.4252),taiwan,American University,Stanford University
"Su, Yi-Yuan","Qi, Dongtao",POINT (-77.0163 38.9047),POINT (-122.1674 37.4252),taiwan,American University,Stanford University
"Su, Yi-Yuan","Chung, Chi-nien",POINT (-77.0163 38.9047),POINT (-122.1674 37.4252),taiwan,American University,Stanford University
"Su, Yi-Yuan","Shih, Ling-Ling L.",POINT (-77.0163 38.9047),POINT (-73.7987 42.6664),taiwan,American University,State University of New York at Albany
"Su, Yi-Yuan","Murphree, Hyon Joo Yoo",POINT (-77.0163 38.9047),POINT (-76.1437 43.0407),taiwan,American University,Syracuse University
"Su, Yi-Yuan","Chang, Doris Ting-Ling",POINT (-77.0163 38.9047),POINT (-82.9855 39.9862),taiwan,American University,The Ohio State University
"Su, Yi-Yuan","Huang, Tong-yi",POINT (-77.0163 38.9047),POINT (-97.7522 30.3005),taiwan,American University,The University of Texas at Austin
"Su, Yi-Yuan","Hu, Brian",POINT (-77.0163 38.9047),POINT (-117.7738 33.6772),taiwan,American University,University of California Irvine
"Su, Yi-Yuan","Liu, Jennifer",POINT (-77.0163 38.9047),POINT (-117.7738 33.6772),taiwan,American University,University of California Irvine
"Su, Yi-Yuan","Chang, Winifred Kai-wen",POINT (-77.0163 38.9047),POINT (-117.7738 33.6772),taiwan,American University,University of California Irvine
"Su, Yi-Yuan","Chang, Cheng David",POINT (-77.0163 38.9047),POINT (-117.1222 32.8313),taiwan,American University,University of California San Diego
"Su, Yi-Yuan","Shih, Jamin Duane",POINT (-77.0163 38.9047),POINT (-120.4779 37.3057),taiwan,American University,University of California Merced
"Su, Yi-Yuan","Liu, Hsiaopong",POINT (-77.0163 38.9047),POINT (-87.6866 41.8375),taiwan,American University,University of Chicago
"Su, Yi-Yuan","Lin, Kai-Shyh",POINT (-77.0163 38.9047),POINT (-87.6866 41.8375),taiwan,American University,University of Chicago
"Su, Yi-Yuan","Lan, Shi-Chi",POINT (-77.0163 38.9047),POINT (-87.6866 41.8375),taiwan,American University,University of Chicago
