source,target,source_coordinates,target_coordinates
"Su, Yi-Yuan","Chen, Maa-ling",POINT (-77.0163 38.9047),POINT (-111.9319 33.3881)
"Su, Yi-Yuan","Park, Sun Sook",POINT (-77.0163 38.9047),POINT (-71.2423 42.3889)
"Su, Yi-Yuan","Lin, Eric Y.J.",POINT (-77.0163 38.9047),POINT (-117.7153 34.1259)
"Su, Yi-Yuan","Gronewold, Sue Ellen",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943)
"Su, Yi-Yuan","Khu, Josephine Meihui Tiampo",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943)
"Su, Yi-Yuan","Kung, Chien Wen",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943)
"Su, Yi-Yuan","Tinn, Hong-Hong",POINT (-77.0163 38.9047),POINT (-76.5032 42.4442)
"Su, Yi-Yuan","Wen, Shuang",POINT (-77.0163 38.9047),POINT (-77.0163 38.9047)
"Su, Yi-Yuan","Lin, Catherine Kai-Ping",POINT (-77.0163 38.9047),POINT (-77.0163 38.9047)
"Su, Yi-Yuan","Wicentowski, Joseph Charles",POINT (-77.0163 38.9047),POINT (-71.1185 42.3759)
"Su, Yi-Yuan","Chang, Lung-chih",POINT (-77.0163 38.9047),POINT (-71.1185 42.3759)
"Su, Yi-Yuan","Wang, Dan",POINT (-77.0163 38.9047),POINT (-71.1185 42.3759)
"Su, Yi-Yuan","Matsuzaki, Reo",POINT (-77.0163 38.9047),POINT (-71.1185 42.3759)
"Su, Yi-Yuan","Chen, Lu-huei",POINT (-77.0163 38.9047),POINT (-84.4836 42.748)
"Su, Yi-Yuan","Pellegrin, Charles John",POINT (-77.0163 38.9047),POINT (-88.79410573135954 33.45441314606764)
"Su, Yi-Yuan","Lu, Ming-che",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943)
"Su, Yi-Yuan","Chen, Ya-Ping",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943)
"Su, Yi-Yuan","Chang, Ivy I-chu",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943)
"Su, Yi-Yuan","Miao, Yen-Wei",POINT (-77.0163 38.9047),POINT (-73.9249 40.6943)
"Su, Yi-Yuan","Lin, Hsu-Ta",POINT (-77.0163 38.9047),POINT (-74.6693 40.3562)
"Su, Yi-Yuan","Shirane, Seiji",POINT (-77.0163 38.9047),POINT (-74.6693 40.3562)
"Su, Yi-Yuan","Tavares, Antonio C.",POINT (-77.0163 38.9047),POINT (-74.6693 40.3562)
"Su, Yi-Yuan","Veteri, Frank James",POINT (-77.0163 38.9047),POINT (-73.7976 40.7498)
"Su, Yi-Yuan","Shih, Shu-ching",POINT (-77.0163 38.9047),POINT (-73.7976 40.7498)
"Su, Yi-Yuan","Chen, Shu-Juo",POINT (-77.0163 38.9047),POINT (-122.1674 37.4252)
"Su, Yi-Yuan","Qi, Dongtao",POINT (-77.0163 38.9047),POINT (-122.1674 37.4252)
"Su, Yi-Yuan","Chung, Chi-nien",POINT (-77.0163 38.9047),POINT (-122.1674 37.4252)
"Su, Yi-Yuan","Shih, Ling-Ling L.",POINT (-77.0163 38.9047),POINT (-73.7987 42.6664)
"Su, Yi-Yuan","Murphree, Hyon Joo Yoo",POINT (-77.0163 38.9047),POINT (-76.1437 43.0407)
"Su, Yi-Yuan","Chang, Doris Ting-Ling",POINT (-77.0163 38.9047),POINT (-82.9855 39.9862)
"Su, Yi-Yuan","Huang, Tong-yi",POINT (-77.0163 38.9047),POINT (-97.7522 30.3005)
"Su, Yi-Yuan","Hu, Brian",POINT (-77.0163 38.9047),POINT (-117.7738 33.6772)
"Su, Yi-Yuan","Liu, Jennifer",POINT (-77.0163 38.9047),POINT (-117.7738 33.6772)
"Su, Yi-Yuan","Chang, Winifred Kai-wen",POINT (-77.0163 38.9047),POINT (-117.7738 33.6772)
"Su, Yi-Yuan","Chang, Cheng David",POINT (-77.0163 38.9047),POINT (-117.1222 32.8313)
"Su, Yi-Yuan","Shih, Jamin Duane",POINT (-77.0163 38.9047),POINT (-120.4779 37.3057)
"Su, Yi-Yuan","Liu, Hsiaopong",POINT (-77.0163 38.9047),POINT (-87.6866 41.8375)
"Su, Yi-Yuan","Lin, Kai-Shyh",POINT (-77.0163 38.9047),POINT (-87.6866 41.8375)
"Su, Yi-Yuan","Lan, Shi-Chi",POINT (-77.0163 38.9047),POINT (-87.6866 41.8375)
"Su, Yi-Yuan","Oldstone-Moore, Jennifer Lee",POINT (-77.0163 38.9047),POINT (-87.6866 41.8375)
"Su, Yi-Yuan","Lococo, Paul, Jr.",POINT (-77.0163 38.9047),POINT (-157.846 21.3294)
"Su, Yi-Yuan","Amae, Yoshihisa",POINT (-77.0163 38.9047),POINT (-157.846 21.3294)
"Su, Yi-Yuan","Shih, Chi-Sheng",POINT (-77.0163 38.9047),POINT (-87.6866 41.8375)
"Su, Yi-Yuan","Su, Huang-Lan",POINT (-77.0163 38.9047),POINT (-88.2737 40.1142)
"Su, Yi-Yuan","Huang, Hua-lun",POINT (-77.0163 38.9047),POINT (-95.2642 38.9597)
"Su, Yi-Yuan","Li, Xiaolin",POINT (-77.0163 38.9047),POINT (-76.9337 38.996)
"Su, Yi-Yuan","Chao, Hui-Hsuan",POINT (-77.0163 38.9047),POINT (-83.731 42.2759)
"Su, Yi-Yuan","Kuo, Min-Hsun Christine",POINT (-77.0163 38.9047),POINT (-93.2678 44.9635)
"Su, Yi-Yuan","Kang, Peite",POINT (-77.0163 38.9047),POINT (-93.2678 44.9635)
"Su, Yi-Yuan","Barclay, Paul David",POINT (-77.0163 38.9047),POINT (-93.2678 44.9635)
"Su, Yi-Yuan","Lintin, Daniel Paul",POINT (-77.0163 38.9047),POINT (-93.2678 44.9635)
"Su, Yi-Yuan","Ericson, Brenda A.",POINT (-77.0163 38.9047),POINT (-106.6465 35.1054)
"Su, Yi-Yuan","Ni, Chung-chun",POINT (-77.0163 38.9047),POINT (-75.1339 40.0077)
"Su, Yi-Yuan","Sung, Kwang-Yu",POINT (-77.0163 38.9047),POINT (-75.1339 40.0077)
"Su, Yi-Yuan","Kang, Lai-Yung",POINT (-77.0163 38.9047),POINT (-75.1339 40.0077)
"Su, Yi-Yuan","Liu, Shi-yung",POINT (-77.0163 38.9047),POINT (-79.9763 40.4397)
"Su, Yi-Yuan","Ellis, Leon Hubbard",POINT (-77.0163 38.9047),POINT (-122.3244 47.6211)
"Su, Yi-Yuan","Duryea, Maria",POINT (-77.0163 38.9047),POINT (-122.3244 47.6211)
"Su, Yi-Yuan","Meyer, Mahlon D.",POINT (-77.0163 38.9047),POINT (-122.3244 47.6211)
"Su, Yi-Yuan","Hsu, Chiang",POINT (-77.0163 38.9047),POINT (-105.6085 41.3099)
"Su, Yi-Yuan","MacAuslan, Robert Andrew",POINT (-77.0163 38.9047),POINT (-117.433 47.6671)
"Su, Yi-Yuan","Andrade, Tonio Adam",POINT (-77.0163 38.9047),POINT (-72.9246 41.3113)
"Chen, Maa-ling","Park, Sun Sook",POINT (-111.9319 33.3881),POINT (-71.2423 42.3889)
"Chen, Maa-ling","Lin, Eric Y.J.",POINT (-111.9319 33.3881),POINT (-117.7153 34.1259)
"Chen, Maa-ling","Gronewold, Sue Ellen",POINT (-111.9319 33.3881),POINT (-73.9249 40.6943)
"Chen, Maa-ling","Khu, Josephine Meihui Tiampo",POINT (-111.9319 33.3881),POINT (-73.9249 40.6943)
"Chen, Maa-ling","Kung, Chien Wen",POINT (-111.9319 33.3881),POINT (-73.9249 40.6943)
"Chen, Maa-ling","Tinn, Hong-Hong",POINT (-111.9319 33.3881),POINT (-76.5032 42.4442)
"Chen, Maa-ling","Wen, Shuang",POINT (-111.9319 33.3881),POINT (-77.0163 38.9047)
"Chen, Maa-ling","Lin, Catherine Kai-Ping",POINT (-111.9319 33.3881),POINT (-77.0163 38.9047)
"Chen, Maa-ling","Wicentowski, Joseph Charles",POINT (-111.9319 33.3881),POINT (-71.1185 42.3759)
"Chen, Maa-ling","Chang, Lung-chih",POINT (-111.9319 33.3881),POINT (-71.1185 42.3759)
"Chen, Maa-ling","Wang, Dan",POINT (-111.9319 33.3881),POINT (-71.1185 42.3759)
"Chen, Maa-ling","Matsuzaki, Reo",POINT (-111.9319 33.3881),POINT (-71.1185 42.3759)
"Chen, Maa-ling","Chen, Lu-huei",POINT (-111.9319 33.3881),POINT (-84.4836 42.748)
"Chen, Maa-ling","Pellegrin, Charles John",POINT (-111.9319 33.3881),POINT (-88.79410573135954 33.45441314606764)
"Chen, Maa-ling","Lu, Ming-che",POINT (-111.9319 33.3881),POINT (-73.9249 40.6943)
"Chen, Maa-ling","Chen, Ya-Ping",POINT (-111.9319 33.3881),POINT (-73.9249 40.6943)
"Chen, Maa-ling","Chang, Ivy I-chu",POINT (-111.9319 33.3881),POINT (-73.9249 40.6943)
"Chen, Maa-ling","Miao, Yen-Wei",POINT (-111.9319 33.3881),POINT (-73.9249 40.6943)
"Chen, Maa-ling","Lin, Hsu-Ta",POINT (-111.9319 33.3881),POINT (-74.6693 40.3562)
"Chen, Maa-ling","Shirane, Seiji",POINT (-111.9319 33.3881),POINT (-74.6693 40.3562)
"Chen, Maa-ling","Tavares, Antonio C.",POINT (-111.9319 33.3881),POINT (-74.6693 40.3562)
"Chen, Maa-ling","Veteri, Frank James",POINT (-111.9319 33.3881),POINT (-73.7976 40.7498)
"Chen, Maa-ling","Shih, Shu-ching",POINT (-111.9319 33.3881),POINT (-73.7976 40.7498)
"Chen, Maa-ling","Chen, Shu-Juo",POINT (-111.9319 33.3881),POINT (-122.1674 37.4252)
"Chen, Maa-ling","Qi, Dongtao",POINT (-111.9319 33.3881),POINT (-122.1674 37.4252)
"Chen, Maa-ling","Chung, Chi-nien",POINT (-111.9319 33.3881),POINT (-122.1674 37.4252)
"Chen, Maa-ling","Shih, Ling-Ling L.",POINT (-111.9319 33.3881),POINT (-73.7987 42.6664)
"Chen, Maa-ling","Murphree, Hyon Joo Yoo",POINT (-111.9319 33.3881),POINT (-76.1437 43.0407)
