source,target,source_coordinates,target_coordinates,shared_keywords,source_institution,target_institution,source_location,target_location
Francisco J. García-Peñalvo,Ricardo Colomo-Palacios,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),"focus group,global software development,software as a service,release planning,product manager,cloud computing,delphi study",Universidad de Salamanca,Universidad Carlos III de Madrid,"Salamanca, Castilla y León, España","Leganés, Comunidad de Madrid, España"
Francisco J. García-Peñalvo,Marc Alier,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,Universitat Politècnica de Catalunya - Barcelona Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Enric Mayol,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"open source,sakai,e-learning,elearning,ims lti,ple,soa,cloud computing,free software,software as a service,oki,open standards,moodle,vle,google docs,interoperability,lms",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Maria Jose Casañ,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,Universitat Politècnica de Catalunya - Barcelona Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Jordi Piguillem,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"open source,sakai,e-learning,elearning,ims lti,ple,soa,cloud computing,free software,software as a service,oki,open standards,moodle,vle,google docs,interoperability,lms",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Jeffrey W. Merriman,POINT (-5.6640182 40.9651572),POINT (0.1186637 52.2055314),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,Massachusetts Institute of Technology,"Salamanca, Castilla y León, España","Cambridge, England, United Kingdom"
Francisco J. García-Peñalvo,Miguel Ángel Conde,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,University of Salamanca,"Salamanca, Castilla y León, España","Salamanca, Castilla y León, España"
Francisco J. García-Peñalvo,Wouter Tebben,POINT (-5.6640182 40.9651572),POINT (4.8924534 52.3730796),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,Free Knowledge Institute,"Salamanca, Castilla y León, España","Amsterdam, Noord-Holland, Nederland"
Francisco J. García-Peñalvo,Stefan Minder,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern,"Salamanca, Castilla y León, España","Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Francisco J. García-Peñalvo,Michele Notari,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern,"Salamanca, Castilla y León, España","Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
