Author,City,Institution,Keywords,location,location_address
Francisco J. García-Peñalvo,Salamanca,University of Salamanca,[],POINT (-5.6640182 40.9651572),"Salamanca, Castilla y León, España"
Ricardo Colomo-Palacios,Madrid,Universidad Carlos III de Madrid,[],POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Miltiadis D. Lytras,Gerakas,The American College of Greece,[],POINT (23.8560814 38.0120455),"Γέρακας, 15344, Δημοτική Ενότητα Γέρακα, Αποκεντρωμένη Διοίκηση Αττικής, Ελλάς"
Valentina Gatteschi,Torino,Politecnico di Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (7.6824892 45.0677551),"Torino, Piemonte, Italia"
Fabrizio Lamberti,Torino,Politecnico di Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (7.6824892 45.0677551),"Torino, Piemonte, Italia"
Claudio Demartini,Torino,Politecnico di Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (7.6824892 45.0677551),"Torino, Piemonte, Italia"
Rob van Wezel,Ede,KCH International,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (-2.671522203148835 54.605648099999996),"Eden, United Kingdom"
Simonetta Bettiol,Venezia,Ufficio Scolastico Regionale per il Veneto,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (12.3345898 45.4371908),"Venezia, 30121-30176, Veneto, Italia"
Santi Caballe,Barcelona,Open University of Catalonia,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
David Ganan,Barcelona,Open University of Catalonia,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (2.1774322 41.3828939),"Barcelona, 08001, Catalunya, España"
Ian Dunwell,Coventry,Coventry University,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (-1.510477 52.4081812),"Coventry, England, United Kingdom"
Anna Pierri,Baronissi,"Modelli Matematici e Applicazioni (MoMA, SpA)","['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (14.7699874 40.7469385),"Baronissi, 84081, Campania, Italia"
Thanasis Daradoumis,Mytilene,University of the Aegean,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (26.554788 39.1037355),"Μυτιλήνη, 81100, Δημοτική Ενότητα Μυτιλήνης, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
Peter B. Sloep,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Adriana J. Berlanga,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Wolfgang Greller,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Slavi Stoyanov,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Marcel van der Klink,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239),"Heerlen, Limburg, Nederland"
Symeon Retalis,Piraeus,University of Piraeus,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (23.6470593 37.9431594),"Πειραιάς, 185 35, Αποκεντρωμένη Διοίκηση Αττικής, Ελλάς"
Jan Hensgens,Maastricht,Aurus KTS,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.6909768 50.8512438),"Maastricht, Limburg, Nederland"
Jesus G. Boticario,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Alejandro Rodriguez-Ascaso,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Olga C. Santos,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Emmanuelle Raffenne,Madrid,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Lydia Montandon,Madrid,Atos GIBS (Global Innovation and Business Strategy),"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
David Roldán,Madrid,Universidad Politécnica de Valencia,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Félix Buendía,Madrid,Universidad Politécnica de Valencia,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047),"Madrid, Comunidad de Madrid, España"
Benjamim Fonseca,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
Leonel Morgado,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
Hugo Paredes,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
Paulo Martins,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
Ramiro Gonçalves,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935),"Vila Real, Portugal"
