source,target,source_coordinates,target_coordinates,shared_keywords,source_institution,target_institution
Francisco J. García-Peñalvo,Ricardo Colomo-Palacios,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),"product manager,focus group,software as a service,delphi study,release planning,cloud computing,global software development",Universidad de Salamanca,Universidad Carlos III de Madrid
Francisco J. García-Peñalvo,Marc Alier,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,Universitat Politècnica de Catalunya - Barcelona Tech
Francisco J. García-Peñalvo,Enric Mayol,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,vle,soa,free software,oki,software as a service,e-learning,elearning,open source,ims lti,ple,open standards,google docs,cloud computing,moodle,sakai",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Maria Jose Casañ,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,Universitat Politècnica de Catalunya - Barcelona Tech
Francisco J. García-Peñalvo,Jordi Piguillem,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,vle,soa,free software,oki,software as a service,e-learning,elearning,open source,ims lti,ple,open standards,google docs,cloud computing,moodle,sakai",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Jeffrey W. Merriman,POINT (-5.6640182 40.9651572),POINT (0.1186637 52.2055314),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,Massachusetts Institute of Technology
Francisco J. García-Peñalvo,Miguel Ángel Conde,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,University of Salamanca
Francisco J. García-Peñalvo,Wouter Tebben,POINT (-5.6640182 40.9651572),POINT (4.8924534 52.3730796),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,Free Knowledge Institute
Francisco J. García-Peñalvo,Charles Severance,POINT (-5.6640182 40.9651572),POINT (-83.7484616 42.2813722),"lms,interoperability,soa,free software,oki,software as a service,e-learning,open source,open standards,ims lti,moodle,sakai",Universidad de Salamanca,University of Michigan
Francisco J. García-Peñalvo,Stefan Minder,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Michele Notari,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Felix Schmitz,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Rainer Hofer,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Ulrich Woermann,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern
Francisco J. García-Peñalvo,Eduardo Fernández-Medina,POINT (-5.6640182 40.9651572),POINT (-3.9285138 38.9854201),cloud computing,Universidad de Salamanca,University of Castilla-La Mancha
Francisco J. García-Peñalvo,Oscar Rebollo,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047),cloud computing,Universidad de Salamanca,Ministry of Labour and Immigration
Francisco J. García-Peñalvo,Daniel Mellado,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047),cloud computing,Universidad de Salamanca,Rey Juan Carlos University
Francisco J. García-Peñalvo,Marijana Despotović-Zrakić,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Dusan Barać,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Zorica Bogdanović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Branislav Jovanić,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Božidar Radenković,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279),moodle,Universidad de Salamanca,University of Belgrade
Francisco J. García-Peñalvo,Marc Alier Forment,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,vle,software as a service,ple,elearning,google docs,cloud computing",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Patricia Ordóñez de Pablos,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo
Francisco J. García-Peñalvo,David Griffiths,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton
Francisco J. García-Peñalvo,Mark Johnson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,University of Bolton
Francisco J. García-Peñalvo,Kris Popat,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton
Francisco J. García-Peñalvo,Paul Sharples,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton
Francisco J. García-Peñalvo,Scott Wilson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton
Francisco J. García-Peñalvo,Ricardo Queirós,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512),"e-learning,interoperability",Universidad de Salamanca,CRACS & INESC-Porto LA & DI-ESEIG/IPP
Francisco J. García-Peñalvo,José Paulo Leal,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512),"e-learning,interoperability",Universidad de Salamanca,University of Porto
Francisco J. García-Peñalvo,María José Casany,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"lms,interoperability,vle,software as a service,ple,elearning,google docs,cloud computing",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Nikolas Galanis,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572),"lms,interoperability,vle,software as a service,ple,elearning,google docs,cloud computing",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech
Francisco J. García-Peñalvo,Anton Joha,POINT (-5.6640182 40.9651572),POINT (-0.1277653 51.5074456),"cloud computing,software as a service",Universidad de Salamanca,EquaTerra
