Author,City,Institution,Keywords
Francisco J. García-Peñalvo,Salamanca,University of Salamanca,[]
Ricardo Colomo-Palacios,Madrid,Universidad Carlos III de Madrid,[]
Miltiadis D. Lytras,Gerakas,The American College of Greece,[]
Valentina Gatteschi,Torino,Politecnico di Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']"
Fabrizio Lamberti,Torino,Politecnico di Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']"
Claudio Demartini,Torino,Politecnico di Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']"
Rob van Wezel,Ede,KCH International,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']"
Simonetta Bettiol,Venezia,Ufficio Scolastico Regionale per il Veneto,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']"
Santi Caballe,Barcelona,Open University of Catalonia,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']"
David Ganan,Barcelona,Open University of Catalonia,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']"
Ian Dunwell,Coventry,Coventry University,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']"
Anna Pierri,Baronissi,"Modelli Matematici e Applicazioni (MoMA, SpA)","['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']"
Thanasis Daradoumis,Mytilene,University of the Aegean,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']"
Peter B. Sloep,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']"
Adriana J. Berlanga,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']"
Wolfgang Greller,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']"
Slavi Stoyanov,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']"
Marcel van der Klink,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']"
Symeon Retalis,Piraeus,University of Piraeus,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']"
Jan Hensgens,Maastricht,Aurus KTS,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']"
Jesus G. Boticario,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']"
Alejandro Rodriguez-Ascaso,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']"
Olga C. Santos,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']"
Emmanuelle Raffenne,Madrid,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']"
Lydia Montandon,Madrid,Atos GIBS (Global Innovation and Business Strategy),"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']"
David Roldán,Madrid,Universidad Politécnica de Valencia,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']"
Félix Buendía,Madrid,Universidad Politécnica de Valencia,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']"
Benjamim Fonseca,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Leonel Morgado,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Hugo Paredes,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Paulo Martins,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Ramiro Gonçalves,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Pedro Neves,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Ricardo Rodrigues Nunes,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Jorge Lima,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
João Varajão,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Ângela Pereira,Leiria,Instituto Politécnico de Leiria,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Robert Sanders,Brussels,EBN - European BIC Network,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Vera Barracho,Brussels,EBN - European BIC Network,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Urban Lapajne,Maribor,University of Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
Matej Rus,Maribor,University of Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']"
