Author,City,Keywords,coordinates
Francisco J. García-Peñalvo,Salamanca,[],POINT (-5.6640182 40.9651572)
Ricardo Colomo-Palacios,Madrid,[],POINT (-3.7035825 40.4167047)
Miltiadis D. Lytras,Gerakas,[],POINT (23.8560814 38.0120455)
Valentina Gatteschi,Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (7.6824892 45.0677551)
Fabrizio Lamberti,Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (7.6824892 45.0677551)
Claudio Demartini,Torino,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (7.6824892 45.0677551)
Rob van Wezel,Ede,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (-2.671522203148835 54.605648099999996)
Simonetta Bettiol,Venezia,"['taxonomy', 'ontology', 'lifelong learning', 'qualifications', 'semantic engine']",POINT (12.3345898 45.4371908)
Santi Caballe,Barcelona,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (2.1774322 41.3828939)
David Ganan,Barcelona,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (2.1774322 41.3828939)
Ian Dunwell,Coventry,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (-1.510477 52.4081812)
Anna Pierri,Baronissi,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (14.7699874 40.7469385)
Thanasis Daradoumis,Mytilene,"['collaborative learning', 'collaborative complex learning objects', 'virtualized collaborative sessions', 'on-line discussions']",POINT (26.554788 39.1037355)
Peter B. Sloep,Heerlen,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239)
Adriana J. Berlanga,Heerlen,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239)
Wolfgang Greller,Heerlen,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239)
Slavi Stoyanov,Heerlen,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239)
Marcel van der Klink,Heerlen,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239)
Symeon Retalis,Piraeus,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (23.6470593 37.9431594)
Jan Hensgens,Maastricht,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.6909768 50.8512438)
Jesus G. Boticario,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Alejandro Rodriguez-Ascaso,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Olga C. Santos,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Emmanuelle Raffenne,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Lydia Montandon,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
David Roldán,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Félix Buendía,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Benjamim Fonseca,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Leonel Morgado,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Hugo Paredes,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Paulo Martins,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Ramiro Gonçalves,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Pedro Neves,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Ricardo Rodrigues Nunes,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Jorge Lima,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
João Varajão,Vila Real,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Ângela Pereira,Leiria,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-8.8071119 39.7437902)
Robert Sanders,Brussels,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-90.5887314 38.9494939)
Vera Barracho,Brussels,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-90.5887314 38.9494939)
Urban Lapajne,Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.6455854 46.5576439)
Matej Rus,Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.6455854 46.5576439)
Martin Rahe,Barcelona,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (2.1774322 41.3828939)
Andre Mostert,London,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-0.1277653 51.5074456)
Thorsten Klein,London,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-0.1277653 51.5074456)
Viktorija Bojovic,Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338)
Saša Bošnjak,Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338)
Zita Bošnjak,Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338)
João Carvalho,Covilhã,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.5043211 40.2805658)
Isabel Duarte,Covilhã,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.5043211 40.2805658)
Andreana Casaramona,Messina,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.5542082 38.1937571)
Alberto Soraci,Messina,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.5542082 38.1937571)
Marc Alier,Barcelona,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939)
