source,target,source_coordinates,target_coordinates
Francisco J. García-Peñalvo,Ricardo Colomo-Palacios,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,Marc Alier,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Enric Mayol,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Maria Jose Casañ,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Jordi Piguillem,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Jeffrey W. Merriman,POINT (-5.6640182 40.9651572),POINT (0.1186637 52.2055314)
Francisco J. García-Peñalvo,Miguel Ángel Conde,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572)
Francisco J. García-Peñalvo,Wouter Tebben,POINT (-5.6640182 40.9651572),POINT (4.8924534 52.3730796)
Francisco J. García-Peñalvo,Charles Severance,POINT (-5.6640182 40.9651572),POINT (-83.7484616 42.2813722)
Francisco J. García-Peñalvo,Stefan Minder,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Michele Notari,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Felix Schmitz,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Rainer Hofer,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Ulrich Woermann,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742)
Francisco J. García-Peñalvo,Eduardo Fernández-Medina,POINT (-5.6640182 40.9651572),POINT (-3.9285138 38.9854201)
Francisco J. García-Peñalvo,Oscar Rebollo,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047)
Francisco J. García-Peñalvo,Daniel Mellado,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047)
Francisco J. García-Peñalvo,Marijana Despotović-Zrakić,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Dusan Barać,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Zorica Bogdanović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Branislav Jovanić,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Božidar Radenković,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Marc Alier Forment,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Patricia Ordóñez de Pablos,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625)
Francisco J. García-Peñalvo,David Griffiths,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Mark Johnson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Kris Popat,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Paul Sharples,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Scott Wilson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863)
Francisco J. García-Peñalvo,Ricardo Queirós,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512)
Francisco J. García-Peñalvo,José Paulo Leal,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512)
Francisco J. García-Peñalvo,María José Casany,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939)
Francisco J. García-Peñalvo,Nikolas Galanis,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572)
Francisco J. García-Peñalvo,Anton Joha,POINT (-5.6640182 40.9651572),POINT (-0.1277653 51.5074456)
Francisco J. García-Peñalvo,Marijn Janssen,POINT (-5.6640182 40.9651572),POINT (4.362724538543995 51.999457199999995)
Francisco J. García-Peñalvo,Eduardo Fernandes,POINT (-5.6640182 40.9651572),POINT (-46.6333824 -23.5506507)
Francisco J. García-Peñalvo,Marc Sabbagh,POINT (-5.6640182 40.9651572),POINT (2.2890454 48.9105948)
Francisco J. García-Peñalvo,Antonio de Amescua Seco,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047)
Francisco J. García-Peñalvo,Miloš Milovanović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Miroslav Minović,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Starčević Dušan,POINT (-5.6640182 40.9651572),POINT (-111.184535 45.773279)
Francisco J. García-Peñalvo,Miguel García Rodríguez,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625)
Francisco J. García-Peñalvo,Jose María Alvarez Rodríguez,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625)
Francisco J. García-Peñalvo,Diego Berrueta Muñoz,POINT (-5.6640182 40.9651572),POINT (-5.66275 43.5449422)
Francisco J. García-Peñalvo,Luis Polo Paredes,POINT (-5.6640182 40.9651572),POINT (-5.66275 43.5449422)
Francisco J. García-Peñalvo,Jose Emilio Labra Gayo,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625)
Francisco J. García-Peñalvo,Thijs Baars,POINT (-5.6640182 40.9651572),POINT (5.1215634 52.0907006)
Francisco J. García-Peñalvo,Marco Spruit,POINT (-5.6640182 40.9651572),POINT (5.1215634 52.0907006)
Francisco J. García-Peñalvo,David Griol,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,José Manuel Molina,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,Araceli Sanchis de Miguel,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942)
Francisco J. García-Peñalvo,Zoraida Callejas,POINT (-5.6640182 40.9651572),POINT (-3.5995337 37.1734995)
Francisco J. García-Peñalvo,Alok Mishra,POINT (-5.6640182 40.9651572),POINT (32.8540497 39.9207759)
Francisco J. García-Peñalvo,Deepti Mishra,POINT (-5.6640182 40.9651572),POINT (32.8540497 39.9207759)
Francisco J. García-Peñalvo,Pedro Soto-Acosta,POINT (-5.6640182 40.9651572),POINT (-1.1305431 37.9923795)
