source,source_location,Content,target,target_location,Other places,Etude Notaire,Cote ADLA,Nature acte,Date,source_address,target_address
Hubert Antheaume,POINT (120.6608516 15.21614),Commerce ,"Jacques Yvon, sr des Landes",POINT (-106.3570352 35.5146235),,Delalande,4/2E/624,société,03/08/1673,"San Nicolas 1st, 2011, Magalang, Pampanga, Philippines","San Ildefonso, 87052, Santo Domingo Pueblo / Kewa, New Mexico, United States"
Marie Boucher,POINT (120.6608516 15.21614),Commerce ,Hubert Antheaume,POINT (120.6608516 15.21614),,Delalande,4/2E/626,procompte,06/08/1675,"San Nicolas 1st, 2011, Magalang, Pampanga, Philippines","San Nicolas 1st, 2011, Magalang, Pampanga, Philippines"
Marie Boucher,POINT (120.6608516 15.21614),Famille,Hubert Antheaume,POINT (120.6608516 15.21614),,Delalande,4/2E/626,procompte,06/08/1675,"San Nicolas 1st, 2011, Magalang, Pampanga, Philippines","San Nicolas 1st, 2011, Magalang, Pampanga, Philippines"
Marie Boucher,POINT (120.6608516 15.21614),Famille,Roze Boucher,POINT (120.6608516 15.21614),,Delalande,4/2E/626,Quittance,15/09/1671,"San Nicolas 1st, 2011, Magalang, Pampanga, Philippines","San Nicolas 1st, 2011, Magalang, Pampanga, Philippines"
Marie Boucher,POINT (2.3200410217200766 48.8588897),Commerce ,Roze Boucher,POINT (120.6608516 15.21614),,Delalande,4/2E/626,Quittance,15/09/1671,"Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Île-de-France, France","San Nicolas 1st, 2011, Magalang, Pampanga, Philippines"
Marie Boucher,POINT (2.3200410217200766 48.8588897),Commerce ,Hubert Antheaume,POINT (2.3200410217200766 48.8588897),,Delalande,4/2E/626,Quittance,15/09/1671,"Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Île-de-France, France","Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Île-de-France, France"
? Vallet,POINT (1.4284354 38.9172895),Travail,? Bec de Fort,POINT (6.1834097 48.6937223),,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","Nancy, 54000;54100, Grand Est, France"
? Vallet,POINT (1.4284354 38.9172895),Commerce,Joseph Labelle,POINT (-106.3570352 35.5146235),,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","San Ildefonso, 87052, Santo Domingo Pueblo / Kewa, New Mexico, United States"
? Vallet,POINT (1.4284354 38.9172895),Famille,? Vallet,POINT (-61.2746051 15.948949),,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","Barre de l'Île, 97134, Saint-Louis, Guadeloupe, France"
? Vallet,POINT (1.4284354 38.9172895),Famille,Joseph Vallet,POINT (-4.4860088 48.3905283),,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","Brest, 29200, Bretagne, France"
? Vallet,POINT (1.4284354 38.9172895),Commerce,Jean Michel,POINT (6.1834097 48.6937223),,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","Nancy, 54000;54100, Grand Est, France"
? Vallet,POINT (1.4284354 38.9172895),Commerce,Jacques Allain,POINT (6.1834097 48.6937223),,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","Nancy, 54000;54100, Grand Est, France"
? Vallet,POINT (1.4284354 38.9172895),Commerce,Hubert Antheaume,POINT (120.6608516 15.21614),La Rochelle,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","San Nicolas 1st, 2011, Magalang, Pampanga, Philippines"
? Vallet,POINT (1.4284354 38.9172895),Finance ,Guillaume Gray le jeune,POINT (6.1834097 48.6937223),,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","Nancy, 54000;54100, Grand Est, France"
? Vallet,POINT (1.4284354 38.9172895),Finance ,Madeleine Gassau,POINT (-1.1520434 46.1591126),,Delalande,4/2E/627,Déclaration,01/01/1676,"Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España","La Rochelle, 17000, Nouvelle-Aquitaine, France"
Madeleine Gassau,POINT (120.6608516 15.21614),Famille,Renexent Vanarsen,POINT (120.6608516 15.21614),,Delalande,4/2E/627,Déclaration,01/01/1676,"San Nicolas 1st, 2011, Magalang, Pampanga, Philippines","San Nicolas 1st, 2011, Magalang, Pampanga, Philippines"
Renée Maheur,POINT (2.345127552857141 48.8633997),Travail,Marie Paulet,POINT (2.345127552857141 48.8633997),,Delalande,4/2E/627,Procuration,12/06/1676,"Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France","Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France"
Renée Maheur,POINT (2.345127552857141 48.8633997),Commerce,Isabelle Maheu,POINT (2.345127552857141 48.8633997),,Delalande,4/2E/627,Procuration,12/06/1676,"Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France","Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France"
Renée Maheur,POINT (2.345127552857141 48.8633997),Famille,Isabelle Maheu,POINT (2.345127552857141 48.8633997),,Delalande,4/2E/627,Procuration,12/06/1676,"Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France","Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France"
Marie Paulet,POINT (2.345127552857141 48.8633997),Famille,Marie-Anne de Lamarche,POINT (2.345127552857141 48.8633997),,Delalande,4/2E/627,Procuration,12/06/1676,"Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France","Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France"
Renée Maheur,POINT (2.345127552857141 48.8633997),Commerce,Hubert Antheaume,POINT (1.4284354 38.9172895),,Delalande,4/2E/627,Procuration,12/06/1676,"Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France","Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España"
Marie Paulet,POINT (2.345127552857141 48.8633997),Commerce,Marie-Anne de Lamarche,POINT (2.345127552857141 48.8633997),,Delalande,4/2E/627,Procuration,12/06/1676,"Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France","Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France"
Marie Paulet,POINT (2.345127552857141 48.8633997),Commerce,Hubert Antheaume,POINT (1.4284354 38.9172895),,Delalande,4/2E/627,Procuration,12/06/1676,"Église Saint-Eustache, Place René Cassin, 75001, Place René Cassin, Paris, Île-de-France, France","Carrer de Cas Dominguets, 07800, Eivissa, Illes Balears, España"
