Con,date,year,AgtId,From Node (Full Name),From Node (Short Name),PP,From Node Type,From Node Sub-Type,agt_description,signatory_id,Edge,actor_id,actor_id_type,To Node Name,actor_detail,actor_type,To Node Type,To Node Sub-Type,short_actor_name,country_based,isco3c_actor_based,actor_additional_info,PAX_Hyperlink,PDF_Hyperlink,location,location_address
Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, June 1999",Kosovo process,Peace Agreement,"Framework-substantive, partial",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,34,party,10,CON_10,Netherlands,,CON,Entity,Country/State,NTH,Netherlands,NLD,,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,POINT (5.6343227 52.2434979),"Nederland, Nederland"
Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, June 1999",Kosovo process,Peace Agreement,"Framework-substantive, partial",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,29,party,17,CON_17,Slovenia,,CON,Entity,Country/State,SLV,Slovenia,SVN,,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,POINT (14.8153333 46.1199444),"Slovenija, Slovenija"
Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, June 1999",Kosovo process,Peace Agreement,"Framework-substantive, partial",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,24,party,7,CON_7,France,,CON,Entity,Country/State,FRN,France,FRA,,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,POINT (1.8883335 46.603354),"France, France"
Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, June 1999",Kosovo process,Peace Agreement,"Framework-substantive, partial",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,23,party,18,CON_18,United Kingdom,,CON,Entity,Country/State,UKG,United Kingdom of Great Britain and Northern Ireland,GBR,,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,POINT (-3.2765753 54.7023545),"United Kingdom, United Kingdom"
Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, June 1999",Kosovo process,Peace Agreement,"Framework-substantive, partial",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,21,party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,POINT (97.7453061 64.6863136),"Россия, Россия"
Kosovo/Serbia/Yugoslavia (former),1999-06-03,1999,6,Kosovo Peace Plan,"Pre-negotiation, June 1999",Kosovo process,Peace Agreement,Pre-negotiation,"The plan outlines areas on which agreement should be reached including: the deployment of international civilian and security presence; establishment of an interim administration under which the people of Kosovo would enjoy substantial autonomy within the FRY; return of all refugees and displaced persons under UNHCR supervision, and undisturbed access for humanitarian organisations. It also provides for withdraw of FRY armed personnel, with conditions for limited return. ",38,third party,5,IGO_5,European Union,,IGO,Entity,IGO,EU,,,"European Union (EU) is an IGO, with affiliations to Regional Diplomatic IGOs (International Government Organizations). They are also referred to as EU || The European Union || European Union",https://www.peaceagreements.org/view/6,https://www.peaceagreements.org/viewmasterdocument/6,POINT (6.141067462697978 49.62080075),"Court of Justice of the European Union, Rue Johannes Kepler, 2226, Rue Johannes Kepler, Luxembourg, Lëtzebuerg"
Kosovo/Serbia/Yugoslavia (former),1999-06-03,1999,6,Kosovo Peace Plan,"Pre-negotiation, June 1999",Kosovo process,Peace Agreement,Pre-negotiation,"The plan outlines areas on which agreement should be reached including: the deployment of international civilian and security presence; establishment of an interim administration under which the people of Kosovo would enjoy substantial autonomy within the FRY; return of all refugees and displaced persons under UNHCR supervision, and undisturbed access for humanitarian organisations. It also provides for withdraw of FRY armed personnel, with conditions for limited return. ",40,third party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/6,https://www.peaceagreements.org/viewmasterdocument/6,POINT (97.7453061 64.6863136),"Россия, Россия"
Georgia/Russia/Abkhazia,1992-09-03,1992,10,Final Document of the Moscow Meeting (Moscow Ceasefire),"Ceasefire, September 1992",Abkhazia peace process,Peace Agreement,Ceasefire,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",75,party,45,ENT_45,Abkhazia,,ENT,Entity,Entity,Abkhazia,Georgia,GEO,,https://www.peaceagreements.org/view/10,https://www.peaceagreements.org/viewmasterdocument/10,POINT (41.2299786 43.1500226),"Аҧсны - Абхазия, საქართველო"
Georgia/Russia/Abkhazia,1992-09-03,1992,10,Final Document of the Moscow Meeting (Moscow Ceasefire),"Ceasefire, September 1992",Abkhazia peace process,Peace Agreement,Ceasefire,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",77,third party,45,ENT_45,Abkhazia,,ENT,Entity,Entity,Abkhazia,Georgia,GEO,,https://www.peaceagreements.org/view/10,https://www.peaceagreements.org/viewmasterdocument/10,POINT (41.2299786 43.1500226),"Аҧсны - Абхазия, საქართველო"
Georgia/Russia/Abkhazia,1992-09-03,1992,10,Final Document of the Moscow Meeting (Moscow Ceasefire),"Ceasefire, September 1992",Abkhazia peace process,Peace Agreement,Ceasefire,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",76,third party,47,ENT_47,North Caucasian,,ENT,Entity,Entity,North Caucasian,Russian Federation,RUS,,https://www.peaceagreements.org/view/10,https://www.peaceagreements.org/viewmasterdocument/10,POINT (44.29295180730334 43.710901899999996),"Северо-Кавказский федеральный округ, Россия"
