Con,date,year,AgtId,From Node (Full Name),From Node (Short Name),PP,From Node Type,From Node Sub-Type,agt_description,signatory_id,Edge,actor_id,actor_id_type,To Node Name,actor_detail,actor_type,To Node Type,To Node Sub-Type,short_actor_name,country_based,isco3c_actor_based,actor_additional_info,PAX_Hyperlink,PDF_Hyperlink,location,location_address
Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,5,UN Security Council Resolution 1244 ,"Framework-substantive, partial, June 1999",Kosovo process,Peace Agreement,"Framework-substantive, partial",This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,21,party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/5,https://www.peaceagreements.org/viewmasterdocument/5,POINT (97.7453061 64.6863136),"Россия, Россия"
Kosovo/Serbia/Yugoslavia (former),1999-06-03,1999,6,Kosovo Peace Plan,"Pre-negotiation, June 1999",Kosovo process,Peace Agreement,Pre-negotiation,"The plan outlines areas on which agreement should be reached including: the deployment of international civilian and security presence; establishment of an interim administration under which the people of Kosovo would enjoy substantial autonomy within the FRY; return of all refugees and displaced persons under UNHCR supervision, and undisturbed access for humanitarian organisations. It also provides for withdraw of FRY armed personnel, with conditions for limited return. ",40,third party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/6,https://www.peaceagreements.org/viewmasterdocument/6,POINT (97.7453061 64.6863136),"Россия, Россия"
Georgia/Russia/Abkhazia,1992-09-03,1992,10,Final Document of the Moscow Meeting (Moscow Ceasefire),"Ceasefire, September 1992",Abkhazia peace process,Peace Agreement,Ceasefire,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",76,third party,47,ENT_47,North Caucasian,,ENT,Entity,Entity,North Caucasian,Russian Federation,RUS,,https://www.peaceagreements.org/view/10,https://www.peaceagreements.org/viewmasterdocument/10,POINT (44.29295180730334 43.710901899999996),"Северо-Кавказский федеральный округ, Россия"
Georgia/Russia/Abkhazia,1992-09-03,1992,10,Final Document of the Moscow Meeting (Moscow Ceasefire),"Ceasefire, September 1992",Abkhazia peace process,Peace Agreement,Ceasefire,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",78,third party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/10,https://www.peaceagreements.org/viewmasterdocument/10,POINT (97.7453061 64.6863136),"Россия, Россия"
Georgia/Russia/Abkhazia,1992-09-03,1992,10,Final Document of the Moscow Meeting (Moscow Ceasefire),"Ceasefire, September 1992",Abkhazia peace process,Peace Agreement,Ceasefire,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",73,party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/10,https://www.peaceagreements.org/viewmasterdocument/10,POINT (97.7453061 64.6863136),"Россия, Россия"
Georgia/Abkhazia,1993-12-01,1993,12,Memorandum of understanding between the Georgian and Abkhaz sides at the negotiations held in Geneva,"Framework-substantive, partial, December 1993",Abkhazia peace process,Peace Agreement,"Framework-substantive, partial",Commitment not to use force or threat of force for period of negotiations.  Maintenance of peace to be promoted by increase in international observers and use of peace-keeping forces.  Also provided for exchange of prisoners of war before 20 December in gesture of good will; urgent measures to find missing persons; creation of conditions for return of refugees and return of land and property.  Parties expressed hope for participation of United Nations High Commissioner for Refugees and appealed for humanitarian assistance.  Agreed a group of experts would prepare recommendations on the political status of Abkhazia and set date for next round of negotiations.,84,third party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/12,https://www.peaceagreements.org/viewmasterdocument/12,POINT (97.7453061 64.6863136),"Россия, Россия"
Georgia/Abkhazia,1994-01-13,1994,13,Communiqué on the second round of negotiations between the Georgian and Abkhaz sides,"Pre-negotiation, January 1994",Abkhazia peace process,Peace Agreement,Pre-negotiation,"Noted that provisions of the last Memorandum were for the most part being implemented and reaffirmed commitment not to use force.  Appealed to UN to extend mandate of UN Observer Mission in Georgia (UNOMIG) and to intensify the international civilian presence.  Provided for withdrawal of armed units from lines of confrontation and complete disarmament and made provision for a Russian military contingent in a UN peacekeeping force.  Agreed to continue to work out agreement on voluntary return of refugees/displaced persons, to establish special commission on refugees, and to begin implementation of phased process of their return to Abkhazia.  Also agreed to continue discussion of problem of political status of Abkhazia and expressed interest in establishment of an international commission to assist economic recovery.",91,third party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/13,https://www.peaceagreements.org/viewmasterdocument/13,POINT (97.7453061 64.6863136),"Россия, Россия"
Georgia/Abkhazia,1998-01-22,1998,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,"Pre-negotiation, January 1998",Abkhazia peace process,Peace Agreement,Pre-negotiation,"Instructed Working Group I to set up mechanism whereby parties, UNOMIG, and CISPKF could participate in the investigations and prevention of violations of the 1994 Moscow Agreement (see above).",95,third party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/17,https://www.peaceagreements.org/viewmasterdocument/17,POINT (97.7453061 64.6863136),"Россия, Россия"
Georgia/Abkhazia,1998-04-28,1998,18,"Decision of 28 April 1998 on additional measures for the settlement of the conflict in Abkhazia, Georgia, The Council of Heads of State of the Commonwealth of Independent State","Framework-substantive, partial, April 1998",Abkhazia peace process,Peace Agreement,"Framework-substantive, partial",Decided to extend stay of Collective Peacekeeping Forces (CPF).  Agreed to draw up plan to re-deploy CPF and called on members of CPF to take more active part in peacekeeping.  Expressed concern that decision of 28 March 1997 (expansion of peacekeeping forces) remained unimplemented and agreed any further delay in process of return of refugees/displaced persons was inadmissible.  Parties also agreed to seek cooperation of international community in resolving socio-economic and humanitarian problems.,106,party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/18,https://www.peaceagreements.org/viewmasterdocument/18,POINT (97.7453061 64.6863136),"Россия, Россия"
Georgia/Abkhazia,1998-05-22,1998,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,"Pre-negotiation, May 1998",Abkhazia peace process,Peace Agreement,Pre-negotiation,Decided to take steps to halt armed confrontation in Gali district and to instruct UN Secretary General to hold consultations on development of mechanism to investigate and prevent incidents in violation of Moscow Agreement.  Agreed to refrain from steps that could exacerbate situation and to take measures to promote peace process.,117,third party,20,CON_20,Russia,,CON,Entity,Country/State,RUS,Russian Federation,RUS,,https://www.peaceagreements.org/view/19,https://www.peaceagreements.org/viewmasterdocument/19,POINT (97.7453061 64.6863136),"Россия, Россия"
