source,target,source_location,target_location,source_coordinates,target_coordinates,Con,Date,Year,From_Node_Full_Name,PP,agt_description,AgtId
Kosovo process_location_0,Kosovo process_location_1,"Nederland, Nederland","Slovenija, Slovenija",POINT (5.6343227 52.2434979),POINT (14.8153333 46.1199444),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_0,Kosovo process_location_2,"Nederland, Nederland","France, France",POINT (5.6343227 52.2434979),POINT (1.8883335 46.603354),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_0,Kosovo process_location_3,"Nederland, Nederland","United Kingdom, United Kingdom",POINT (5.6343227 52.2434979),POINT (-3.2765753 54.7023545),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_0,Kosovo process_location_4,"Nederland, Nederland","Россия, Россия",POINT (5.6343227 52.2434979),POINT (97.7453061 64.6863136),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_1,Kosovo process_location_2,"Slovenija, Slovenija","France, France",POINT (14.8153333 46.1199444),POINT (1.8883335 46.603354),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_1,Kosovo process_location_3,"Slovenija, Slovenija","United Kingdom, United Kingdom",POINT (14.8153333 46.1199444),POINT (-3.2765753 54.7023545),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_1,Kosovo process_location_4,"Slovenija, Slovenija","Россия, Россия",POINT (14.8153333 46.1199444),POINT (97.7453061 64.6863136),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_2,Kosovo process_location_3,"France, France","United Kingdom, United Kingdom",POINT (1.8883335 46.603354),POINT (-3.2765753 54.7023545),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_2,Kosovo process_location_4,"France, France","Россия, Россия",POINT (1.8883335 46.603354),POINT (97.7453061 64.6863136),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
Kosovo process_location_3,Kosovo process_location_4,"United Kingdom, United Kingdom","Россия, Россия",POINT (-3.2765753 54.7023545),POINT (97.7453061 64.6863136),Kosovo/Serbia/Yugoslavia (former),1999-06-10,1999,UN Security Council Resolution 1244 ,Kosovo process,This resolution authorises the deployment of an international civilian and military presence that would provide an international transitional administration and security presence that would oversee the return of refugees and the withdrawal of military forces from Kosovo. The resolution also states that the international civilian presences will facilitate a political process to determine the future status of Kosovo.,5
