source,target,source_location,target_location,source_coordinates,target_coordinates,Con,Date,Year,From_Node_Full_Name,PP,agt_description,AgtId
Abkhazia peace process_location_1,Abkhazia peace process_location_0,"Северо-Кавказский федеральный округ, Россия","Россия, Россия",POINT (44.29295180730334 43.710901899999996),POINT (97.7453061 64.6863136),Georgia/Russia/Abkhazia,1992-09-03,1992,Final Document of the Moscow Meeting (Moscow Ceasefire),Abkhazia peace process,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",10
Israel-Palestine peace process_location_0,Israel-Palestine peace process_location_2,"Россия, Россия","لبنان, لبنان",POINT (97.7453061 64.6863136),POINT (35.843409 33.8750629),Israel/(Palestine),1991-10-30,1991,Letter of Invitation to Madrid Peace Conference,Israel-Palestine peace process,"The breakup of the Soviet Union and the Gulf War reshaped the basic political order of the Middle East. In an attempt to take advantage of this change, US Secretary of State James Baker made eight trips to the region in the eight months following the Gulf War. The Madrid Invitation, inviting Israel, Syria, Lebanon, Jordan and the Palestinians to an opening conference represents the result of this shuttle diplomacy. The invitation, an outcome of compromises by all sides, details the structure of the Madrid process: 

An opening conference having no power to impose solutions 
Bilateral talks with the Arab states bordering Israel, 
Talks with the Palestinians on 5-year interim self-rule, to be followed by talks on the permanent status 
Multilateral talks on key regional issues, like refugees. 
The following is the complete text of the invitation to the Madrid Peace Conference on October 30, 1991, jointly issued by the U.S. and the Soviet Union: The co-sponsors believe that those negotiations should focus on region-wide issues of water, refugee issues, environment, economic development, and other subjects of mutual interest.",33
Israel-Palestine peace process_location_0,Israel-Palestine peace process_location_3,"Россия, Россия","ישראל, ישראל",POINT (97.7453061 64.6863136),POINT (34.8594762 30.8124247),Israel/(Palestine),1991-10-30,1991,Letter of Invitation to Madrid Peace Conference,Israel-Palestine peace process,"The breakup of the Soviet Union and the Gulf War reshaped the basic political order of the Middle East. In an attempt to take advantage of this change, US Secretary of State James Baker made eight trips to the region in the eight months following the Gulf War. The Madrid Invitation, inviting Israel, Syria, Lebanon, Jordan and the Palestinians to an opening conference represents the result of this shuttle diplomacy. The invitation, an outcome of compromises by all sides, details the structure of the Madrid process: 

An opening conference having no power to impose solutions 
Bilateral talks with the Arab states bordering Israel, 
Talks with the Palestinians on 5-year interim self-rule, to be followed by talks on the permanent status 
Multilateral talks on key regional issues, like refugees. 
The following is the complete text of the invitation to the Madrid Peace Conference on October 30, 1991, jointly issued by the U.S. and the Soviet Union: The co-sponsors believe that those negotiations should focus on region-wide issues of water, refugee issues, environment, economic development, and other subjects of mutual interest.",33
Israel-Palestine peace process_location_0,Israel-Palestine peace process_location_4,"Россия, Россия","الأردن, الأردن",POINT (97.7453061 64.6863136),POINT (36.941628 31.1667049),Israel/(Palestine),1991-10-30,1991,Letter of Invitation to Madrid Peace Conference,Israel-Palestine peace process,"The breakup of the Soviet Union and the Gulf War reshaped the basic political order of the Middle East. In an attempt to take advantage of this change, US Secretary of State James Baker made eight trips to the region in the eight months following the Gulf War. The Madrid Invitation, inviting Israel, Syria, Lebanon, Jordan and the Palestinians to an opening conference represents the result of this shuttle diplomacy. The invitation, an outcome of compromises by all sides, details the structure of the Madrid process: 

An opening conference having no power to impose solutions 
Bilateral talks with the Arab states bordering Israel, 
Talks with the Palestinians on 5-year interim self-rule, to be followed by talks on the permanent status 
Multilateral talks on key regional issues, like refugees. 
The following is the complete text of the invitation to the Madrid Peace Conference on October 30, 1991, jointly issued by the U.S. and the Soviet Union: The co-sponsors believe that those negotiations should focus on region-wide issues of water, refugee issues, environment, economic development, and other subjects of mutual interest.",33
Israel-Palestine peace process_location_2,Israel-Palestine peace process_location_3,"لبنان, لبنان","ישראל, ישראל",POINT (35.843409 33.8750629),POINT (34.8594762 30.8124247),Israel/(Palestine),1991-10-30,1991,Letter of Invitation to Madrid Peace Conference,Israel-Palestine peace process,"The breakup of the Soviet Union and the Gulf War reshaped the basic political order of the Middle East. In an attempt to take advantage of this change, US Secretary of State James Baker made eight trips to the region in the eight months following the Gulf War. The Madrid Invitation, inviting Israel, Syria, Lebanon, Jordan and the Palestinians to an opening conference represents the result of this shuttle diplomacy. The invitation, an outcome of compromises by all sides, details the structure of the Madrid process: 

An opening conference having no power to impose solutions 
Bilateral talks with the Arab states bordering Israel, 
Talks with the Palestinians on 5-year interim self-rule, to be followed by talks on the permanent status 
Multilateral talks on key regional issues, like refugees. 
The following is the complete text of the invitation to the Madrid Peace Conference on October 30, 1991, jointly issued by the U.S. and the Soviet Union: The co-sponsors believe that those negotiations should focus on region-wide issues of water, refugee issues, environment, economic development, and other subjects of mutual interest.",33
Israel-Palestine peace process_location_2,Israel-Palestine peace process_location_4,"لبنان, لبنان","الأردن, الأردن",POINT (35.843409 33.8750629),POINT (36.941628 31.1667049),Israel/(Palestine),1991-10-30,1991,Letter of Invitation to Madrid Peace Conference,Israel-Palestine peace process,"The breakup of the Soviet Union and the Gulf War reshaped the basic political order of the Middle East. In an attempt to take advantage of this change, US Secretary of State James Baker made eight trips to the region in the eight months following the Gulf War. The Madrid Invitation, inviting Israel, Syria, Lebanon, Jordan and the Palestinians to an opening conference represents the result of this shuttle diplomacy. The invitation, an outcome of compromises by all sides, details the structure of the Madrid process: 

An opening conference having no power to impose solutions 
Bilateral talks with the Arab states bordering Israel, 
Talks with the Palestinians on 5-year interim self-rule, to be followed by talks on the permanent status 
Multilateral talks on key regional issues, like refugees. 
The following is the complete text of the invitation to the Madrid Peace Conference on October 30, 1991, jointly issued by the U.S. and the Soviet Union: The co-sponsors believe that those negotiations should focus on region-wide issues of water, refugee issues, environment, economic development, and other subjects of mutual interest.",33
Israel-Palestine peace process_location_3,Israel-Palestine peace process_location_4,"ישראל, ישראל","الأردن, الأردن",POINT (34.8594762 30.8124247),POINT (36.941628 31.1667049),Israel/(Palestine),1991-10-30,1991,Letter of Invitation to Madrid Peace Conference,Israel-Palestine peace process,"The breakup of the Soviet Union and the Gulf War reshaped the basic political order of the Middle East. In an attempt to take advantage of this change, US Secretary of State James Baker made eight trips to the region in the eight months following the Gulf War. The Madrid Invitation, inviting Israel, Syria, Lebanon, Jordan and the Palestinians to an opening conference represents the result of this shuttle diplomacy. The invitation, an outcome of compromises by all sides, details the structure of the Madrid process: 

An opening conference having no power to impose solutions 
Bilateral talks with the Arab states bordering Israel, 
Talks with the Palestinians on 5-year interim self-rule, to be followed by talks on the permanent status 
Multilateral talks on key regional issues, like refugees. 
The following is the complete text of the invitation to the Madrid Peace Conference on October 30, 1991, jointly issued by the U.S. and the Soviet Union: The co-sponsors believe that those negotiations should focus on region-wide issues of water, refugee issues, environment, economic development, and other subjects of mutual interest.",33
Israel-Palestine peace process_location_3,Israel-Palestine peace process_location_0,"ישראל, ישראל","Россия, Россия",POINT (34.8594762 30.8124247),POINT (97.7453061 64.6863136),Israel/Palestine,1994-04-29,1994,Protocol on Economic Relations,Israel-Palestine peace process,"to be incorporated into Gaza-Jericho agmt, and take effect on its signing. Parties agree to establish Joint Economic Committee

Agreement to be incorporated into the Gaza-Jericho Agreement, and outlines the economic relations between Israel and Palestine, including the establishment of a Joint Economic Committeee, the establishment of import/export duties, monetary and financial duties, taxation, local production, labor regulation, agricultural production, industry, tourism and insurance.",36
Israel-Palestine peace process_location_3,Israel-Palestine peace process_location_5,"ישראל, ישראל","مصر, مصر",POINT (34.8594762 30.8124247),POINT (29.2675469 26.2540493),Israel/Palestine,1994-04-29,1994,Protocol on Economic Relations,Israel-Palestine peace process,"to be incorporated into Gaza-Jericho agmt, and take effect on its signing. Parties agree to establish Joint Economic Committee

Agreement to be incorporated into the Gaza-Jericho Agreement, and outlines the economic relations between Israel and Palestine, including the establishment of a Joint Economic Committeee, the establishment of import/export duties, monetary and financial duties, taxation, local production, labor regulation, agricultural production, industry, tourism and insurance.",36
Israel-Palestine peace process_location_0,Israel-Palestine peace process_location_5,"Россия, Россия","مصر, مصر",POINT (97.7453061 64.6863136),POINT (29.2675469 26.2540493),Israel/Palestine,1994-04-29,1994,Protocol on Economic Relations,Israel-Palestine peace process,"to be incorporated into Gaza-Jericho agmt, and take effect on its signing. Parties agree to establish Joint Economic Committee

Agreement to be incorporated into the Gaza-Jericho Agreement, and outlines the economic relations between Israel and Palestine, including the establishment of a Joint Economic Committeee, the establishment of import/export duties, monetary and financial duties, taxation, local production, labor regulation, agricultural production, industry, tourism and insurance.",36
