source_location,target_location
POINT (-107.991707 61.0666922),POINT (5.6343227 52.2434979)
POINT (-107.991707 61.0666922),POINT (-64.9672817 -34.9964963)
POINT (-107.991707 61.0666922),POINT (102.2656823 4.5693754)
POINT (-107.991707 61.0666922),POINT (17.3231107 -23.2335499)
POINT (-107.991707 61.0666922),POINT (-53.2 -10.3333333)
POINT (-107.991707 61.0666922),POINT (50.5344606 26.1551249)
POINT (-107.991707 61.0666922),POINT (-15.4900464 13.470062)
POINT (-107.991707 61.0666922),POINT (14.8153333 46.1199444)
POINT (-107.991707 61.0666922),POINT (1.8883335 46.603354)
POINT (-107.991707 61.0666922),POINT (-3.2765753 54.7023545)
POINT (-107.991707 61.0666922),POINT (104.999927 35.000074)
POINT (-107.991707 61.0666922),POINT (97.7453061 64.6863136)
POINT (-107.991707 61.0666922),POINT (-100.445882 39.7837304)
POINT (-107.991707 61.0666922),POINT (-73.96727182919946 40.750214150000005)
POINT (-107.991707 61.0666922),POINT (11.6899699 -0.8999695)
POINT (5.6343227 52.2434979),POINT (-64.9672817 -34.9964963)
POINT (5.6343227 52.2434979),POINT (102.2656823 4.5693754)
POINT (5.6343227 52.2434979),POINT (17.3231107 -23.2335499)
POINT (5.6343227 52.2434979),POINT (-53.2 -10.3333333)
POINT (5.6343227 52.2434979),POINT (50.5344606 26.1551249)
POINT (5.6343227 52.2434979),POINT (-15.4900464 13.470062)
POINT (5.6343227 52.2434979),POINT (14.8153333 46.1199444)
POINT (5.6343227 52.2434979),POINT (1.8883335 46.603354)
POINT (5.6343227 52.2434979),POINT (-3.2765753 54.7023545)
POINT (5.6343227 52.2434979),POINT (104.999927 35.000074)
POINT (5.6343227 52.2434979),POINT (97.7453061 64.6863136)
POINT (5.6343227 52.2434979),POINT (-100.445882 39.7837304)
POINT (5.6343227 52.2434979),POINT (-73.96727182919946 40.750214150000005)
POINT (5.6343227 52.2434979),POINT (11.6899699 -0.8999695)
POINT (-64.9672817 -34.9964963),POINT (102.2656823 4.5693754)
POINT (-64.9672817 -34.9964963),POINT (17.3231107 -23.2335499)
POINT (-64.9672817 -34.9964963),POINT (-53.2 -10.3333333)
POINT (-64.9672817 -34.9964963),POINT (50.5344606 26.1551249)
POINT (-64.9672817 -34.9964963),POINT (-15.4900464 13.470062)
POINT (-64.9672817 -34.9964963),POINT (14.8153333 46.1199444)
POINT (-64.9672817 -34.9964963),POINT (1.8883335 46.603354)
POINT (-64.9672817 -34.9964963),POINT (-3.2765753 54.7023545)
POINT (-64.9672817 -34.9964963),POINT (104.999927 35.000074)
POINT (-64.9672817 -34.9964963),POINT (97.7453061 64.6863136)
POINT (-64.9672817 -34.9964963),POINT (-100.445882 39.7837304)
POINT (-64.9672817 -34.9964963),POINT (-73.96727182919946 40.750214150000005)
POINT (-64.9672817 -34.9964963),POINT (11.6899699 -0.8999695)
POINT (102.2656823 4.5693754),POINT (17.3231107 -23.2335499)
POINT (102.2656823 4.5693754),POINT (-53.2 -10.3333333)
POINT (102.2656823 4.5693754),POINT (50.5344606 26.1551249)
POINT (102.2656823 4.5693754),POINT (-15.4900464 13.470062)
POINT (102.2656823 4.5693754),POINT (14.8153333 46.1199444)
POINT (102.2656823 4.5693754),POINT (1.8883335 46.603354)
POINT (102.2656823 4.5693754),POINT (-3.2765753 54.7023545)
POINT (102.2656823 4.5693754),POINT (104.999927 35.000074)
POINT (102.2656823 4.5693754),POINT (97.7453061 64.6863136)
POINT (102.2656823 4.5693754),POINT (-100.445882 39.7837304)
POINT (102.2656823 4.5693754),POINT (-73.96727182919946 40.750214150000005)
POINT (102.2656823 4.5693754),POINT (11.6899699 -0.8999695)
POINT (17.3231107 -23.2335499),POINT (-53.2 -10.3333333)
POINT (17.3231107 -23.2335499),POINT (50.5344606 26.1551249)
POINT (17.3231107 -23.2335499),POINT (-15.4900464 13.470062)
POINT (17.3231107 -23.2335499),POINT (14.8153333 46.1199444)
POINT (17.3231107 -23.2335499),POINT (1.8883335 46.603354)
POINT (17.3231107 -23.2335499),POINT (-3.2765753 54.7023545)
POINT (17.3231107 -23.2335499),POINT (104.999927 35.000074)
POINT (17.3231107 -23.2335499),POINT (97.7453061 64.6863136)
POINT (17.3231107 -23.2335499),POINT (-100.445882 39.7837304)
