source,source_location,target_location,target,Receiver ,Receiver Location,Year,source_coordinates,source_address,target_coordinates,target_address
David Hume,Edinburgh,Boulogne,Charles Smith,Montesquieu,Paris,1752,POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Montesquieu,Bordeaux,Edinburgh,John Stewart,David Hume,Edinburgh,1749,POINT (-0.5800364 44.841225),"Bordeaux, 33000;33100;33200;33300;33800, Nouvelle-Aquitaine, France",POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom"
Ortois,Paris,Boulogne,Charles Smith,Colin MacLaurin,Edinburgh,1743,POINT (2.3200410217200766 48.8588897),"Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Île-de-France, France",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
James Thomson,London,Boulogne,Charles Smith,John Forbes,Boulogne,1734,POINT (-0.1277653 51.5074456),"London, England, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Andrew Cockburn,London,Boulogne,Charles Smith,Edgar,Rome,1730,POINT (-0.1277653 51.5074456),"London, England, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Lord Morton,Paris,Boulogne,Charles Smith,unknown,Edinburgh,1745,POINT (2.3200410217200766 48.8588897),"Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Île-de-France, France",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Andrew Millar,London,Boulogne,Charles Smith,John Forbes,"Brussels, Belgium",1744,POINT (-0.1277653 51.5074456),"London, England, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
John Stevenson,Edinburgh,Boulogne,Charles Smith,Andrew Michael Ramsay,Boulogne,1742,POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
David Hume,Edinburgh,Boulogne,Charles Smith,Montesquieu,Bordeaux,1749,POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Réaumur,Paris,Boulogne,Charles Smith,Lord Morton,Edinburgh,1747,POINT (2.3200410217200766 48.8588897),"Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Île-de-France, France",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Lord Morton,Edinburgh,Boulogne,Charles Smith,Réamur,Paris,1745,POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
James Russel,Paris,Boulogne,Charles Smith,Russel,London,1744,POINT (2.3200410217200766 48.8588897),"Paris, 75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75116, Paris, Île-de-France, France",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
David Hume,Edinburgh,Boulogne,Charles Smith,Abbé Leblanc,Paris,1755,POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Lord Morton,Edinburgh,Boulogne,Charles Smith,Montesquieu,Bordeaux,1754,POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Abbé LeBlanc,London,Boulogne,Charles Smith,Claude Sallier,Paris,1737,POINT (-0.1277653 51.5074456),"London, England, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Abbé LeBlanc,London,Boulogne,Charles Smith,Nicolas Fréret,Paris,1737,POINT (-0.1277653 51.5074456),"London, England, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Montesquieu,Bordeaux,Edinburgh,John Stewart,David Hume,Edinburgh,1749,POINT (-0.5800364 44.841225),"Bordeaux, 33000;33100;33200;33300;33800, Nouvelle-Aquitaine, France",POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom"
Alexander Gordon,Boulogne,Boulogne,Charles Smith,Atterbury,London,1721,POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Edgar,Rome,Boulogne,Charles Smith,Andrew Cockburn,London,1731,POINT (-85.1646726 34.257038),"Rome, Georgia, United States",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Bailie John Steuart,"Inverness, Scotland",Boulogne,Charles Smith,John McLean,London,1740,POINT (-4.225739 57.4790124),"Inverness, IV1 1PQ, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
John Coutts,Edinburgh,Edinburgh,John Stewart,James St. Clari,Turin,1748,POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom",POINT (-3.1883749 55.9533456),"Edinburgh, Alba / Scotland, United Kingdom"
Bailie John Steuart,"Inverness, Scotland",Boulogne,Charles Smith,John McLean,London,1741,POINT (-4.225739 57.4790124),"Inverness, IV1 1PQ, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Bailie John Steuart,"Inverness, Scotland",Boulogne,Charles Smith,Dougald Stuart,Boulogne,1735,POINT (-4.225739 57.4790124),"Inverness, IV1 1PQ, Alba / Scotland, United Kingdom",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
Edgar,Rome,Boulogne,Charles Smith,Lord Elcho,Edinburgh,1740,POINT (-85.1646726 34.257038),"Rome, Georgia, United States",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
James Murray,Rome,Boulogne,Charles Smith,Marjory Scott,Edinburgh,1735,POINT (-85.1646726 34.257038),"Rome, Georgia, United States",POINT (1.6118771 50.7259985),"Boulogne-sur-Mer, 62200, Hauts-de-France, France"
