source,source_location,target,target_location,source_coordinates,target_coordinates
0,Leipzig,1,Hanover,"(12.3747329, 51.3406321)","(9.7385532, 52.3744779)"
0,Leipzig,2,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,3,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,4,Hamburg,"(12.3747329, 51.3406321)","(10.000654, 53.550341)"
0,Leipzig,5,Stuttgart,"(12.3747329, 51.3406321)","(9.1800132, 48.7784485)"
0,Leipzig,6,Bremen,"(12.3747329, 51.3406321)","(8.8071646, 53.0758196)"
0,Leipzig,7,Stuttgart,"(12.3747329, 51.3406321)","(9.1800132, 48.7784485)"
0,Leipzig,8,Dresden,"(12.3747329, 51.3406321)","(13.7381437, 51.0493286)"
0,Leipzig,9,Berlin,"(12.3747329, 51.3406321)","(13.3888599, 52.5170365)"
0,Leipzig,10,Dresden,"(12.3747329, 51.3406321)","(13.7381437, 51.0493286)"
0,Leipzig,11,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,12,Hanover,"(12.3747329, 51.3406321)","(9.7385532, 52.3744779)"
0,Leipzig,14,Leipzig,"(12.3747329, 51.3406321)","(12.3747329, 51.3406321)"
0,Leipzig,15,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,17,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,19,Cologne,"(12.3747329, 51.3406321)","(6.959974, 50.938361)"
0,Leipzig,20,Berlin,"(12.3747329, 51.3406321)","(13.3888599, 52.5170365)"
0,Leipzig,21,Hamburg,"(12.3747329, 51.3406321)","(10.000654, 53.550341)"
0,Leipzig,26,Bremen,"(12.3747329, 51.3406321)","(8.8071646, 53.0758196)"
0,Leipzig,29,Stuttgart,"(12.3747329, 51.3406321)","(9.1800132, 48.7784485)"
0,Leipzig,34,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,35,Leipzig,"(12.3747329, 51.3406321)","(12.3747329, 51.3406321)"
0,Leipzig,39,Frankfurt,"(12.3747329, 51.3406321)","(8.6820917, 50.1106444)"
0,Leipzig,45,Dresden,"(12.3747329, 51.3406321)","(13.7381437, 51.0493286)"
0,Leipzig,47,Berlin,"(12.3747329, 51.3406321)","(13.3888599, 52.5170365)"
0,Leipzig,49,Berlin,"(12.3747329, 51.3406321)","(13.3888599, 52.5170365)"
0,Leipzig,61,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,66,Frankfurt,"(12.3747329, 51.3406321)","(8.6820917, 50.1106444)"
0,Leipzig,68,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,71,Hanover,"(12.3747329, 51.3406321)","(9.7385532, 52.3744779)"
0,Leipzig,75,Bremen,"(12.3747329, 51.3406321)","(8.8071646, 53.0758196)"
0,Leipzig,77,Stuttgart,"(12.3747329, 51.3406321)","(9.1800132, 48.7784485)"
0,Leipzig,81,Frankfurt,"(12.3747329, 51.3406321)","(8.6820917, 50.1106444)"
0,Leipzig,88,Leipzig,"(12.3747329, 51.3406321)","(12.3747329, 51.3406321)"
0,Leipzig,92,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
0,Leipzig,95,Munich,"(12.3747329, 51.3406321)","(11.5753822, 48.1371079)"
1,Hanover,10,Dresden,"(9.7385532, 52.3744779)","(13.7381437, 51.0493286)"
1,Hanover,11,Munich,"(9.7385532, 52.3744779)","(11.5753822, 48.1371079)"
1,Hanover,12,Hanover,"(9.7385532, 52.3744779)","(9.7385532, 52.3744779)"
1,Hanover,15,Munich,"(9.7385532, 52.3744779)","(11.5753822, 48.1371079)"
1,Hanover,21,Hamburg,"(9.7385532, 52.3744779)","(10.000654, 53.550341)"
1,Hanover,40,Hanover,"(9.7385532, 52.3744779)","(9.7385532, 52.3744779)"
1,Hanover,42,Bremen,"(9.7385532, 52.3744779)","(8.8071646, 53.0758196)"
