source,source_location,target,target_location,source_coordinates,target_coordinates
1,Dublin,8,Glasgow,"(-6.2605593, 53.3493795)","(-4.2501687, 55.861155)"
1,Dublin,24,Plymouth,"(-6.2605593, 53.3493795)","(-4.1424451, 50.3714122)"
1,Dublin,47,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
1,Dublin,61,Edinburgh,"(-6.2605593, 53.3493795)","(-3.1883749, 55.9533456)"
5,Galway,7,Cork,"(-9.0490601, 53.2744122)","(-8.4654674, 51.897077)"
5,Galway,27,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
5,Galway,28,Aberdeen,"(-9.0490601, 53.2744122)","(-2.0928095, 57.1482429)"
5,Galway,32,Galway,"(-9.0490601, 53.2744122)","(-9.0490601, 53.2744122)"
5,Galway,46,Galway,"(-9.0490601, 53.2744122)","(-9.0490601, 53.2744122)"
7,Cork,11,Galway,"(-8.4654674, 51.897077)","(-9.0490601, 53.2744122)"
7,Cork,49,London,"(-8.4654674, 51.897077)","(-0.1277653, 51.5074456)"
7,Cork,80,Manchester,"(-8.4654674, 51.897077)","(-2.2451148, 53.4794892)"
10,Cork,18,Edinburgh,"(-8.4654674, 51.897077)","(-3.1883749, 55.9533456)"
11,Galway,23,Manchester,"(-9.0490601, 53.2744122)","(-2.2451148, 53.4794892)"
11,Galway,29,Edinburgh,"(-9.0490601, 53.2744122)","(-3.1883749, 55.9533456)"
11,Galway,40,Cork,"(-9.0490601, 53.2744122)","(-8.4654674, 51.897077)"
11,Galway,51,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
11,Galway,58,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
11,Galway,63,Glasgow,"(-9.0490601, 53.2744122)","(-4.2501687, 55.861155)"
11,Galway,89,Galway,"(-9.0490601, 53.2744122)","(-9.0490601, 53.2744122)"
13,London,14,Galway,"(-0.1277653, 51.5074456)","(-9.0490601, 53.2744122)"
13,London,51,Plymouth,"(-0.1277653, 51.5074456)","(-4.1424451, 50.3714122)"
13,London,52,Dublin,"(-0.1277653, 51.5074456)","(-6.2605593, 53.3493795)"
13,London,82,Edinburgh,"(-0.1277653, 51.5074456)","(-3.1883749, 55.9533456)"
14,Galway,47,Cork,"(-9.0490601, 53.2744122)","(-8.4654674, 51.897077)"
19,Dublin,27,Plymouth,"(-6.2605593, 53.3493795)","(-4.1424451, 50.3714122)"
23,Manchester,31,Dublin,"(-2.2451148, 53.4794892)","(-6.2605593, 53.3493795)"
23,Manchester,67,Glasgow,"(-2.2451148, 53.4794892)","(-4.2501687, 55.861155)"
27,Plymouth,30,Glasgow,"(-4.1424451, 50.3714122)","(-4.2501687, 55.861155)"
27,Plymouth,49,London,"(-4.1424451, 50.3714122)","(-0.1277653, 51.5074456)"
27,Plymouth,53,Dublin,"(-4.1424451, 50.3714122)","(-6.2605593, 53.3493795)"
28,Aberdeen,92,Aberdeen,"(-2.0928095, 57.1482429)","(-2.0928095, 57.1482429)"
32,Galway,58,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
49,London,77,Dublin,"(-0.1277653, 51.5074456)","(-6.2605593, 53.3493795)"
53,Dublin,82,Edinburgh,"(-6.2605593, 53.3493795)","(-3.1883749, 55.9533456)"
53,Dublin,87,Glasgow,"(-6.2605593, 53.3493795)","(-4.2501687, 55.861155)"
58,Plymouth,78,Plymouth,"(-4.1424451, 50.3714122)","(-4.1424451, 50.3714122)"
58,Plymouth,84,Cork,"(-4.1424451, 50.3714122)","(-8.4654674, 51.897077)"
58,Plymouth,93,London,"(-4.1424451, 50.3714122)","(-0.1277653, 51.5074456)"
61,Edinburgh,93,London,"(-3.1883749, 55.9533456)","(-0.1277653, 51.5074456)"
