source,source_location,target,target_location,source_coordinates,target_coordinates
Madrid_0,Madrid,Marseille_5,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_0,Madrid,Lyon_9,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_1,Madrid,Marseille_4,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_1,Madrid,Marseille_0,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_1,Madrid,Paris_2,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_2,Madrid,Lyon_9,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_4,Madrid,Paris_3,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_6,Madrid,Paris_0,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_7,Madrid,Paris_8,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_7,Madrid,Paris_2,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_8,Madrid,Marseille_9,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_10,Madrid,Lyon_11,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_11,Madrid,Paris_11,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Barcelona_0,Barcelona,Paris_11,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
Barcelona_0,Barcelona,Paris_0,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
Barcelona_1,Barcelona,Paris_1,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
Barcelona_1,Barcelona,Paris_11,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
Barcelona_1,Barcelona,Lyon_1,Lyon,"(2.1774322, 41.3828939)","(4.8320114, 45.7578137)"
Barcelona_2,Barcelona,Paris_10,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
Barcelona_3,Barcelona,Paris_10,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
Barcelona_4,Barcelona,Lyon_1,Lyon,"(2.1774322, 41.3828939)","(4.8320114, 45.7578137)"
