source,source_location,target,target_location,source_coordinates,target_coordinates
0,Hamburg,1,Stuttgart,"(10.000654, 53.550341)","(9.1800132, 48.7784485)"
0,Hamburg,2,Berlin,"(10.000654, 53.550341)","(13.3888599, 52.5170365)"
0,Hamburg,3,Munich,"(10.000654, 53.550341)","(11.5753822, 48.1371079)"
0,Hamburg,4,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,5,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,6,Frankfurt,"(10.000654, 53.550341)","(8.6820917, 50.1106444)"
0,Hamburg,7,Stuttgart,"(10.000654, 53.550341)","(9.1800132, 48.7784485)"
0,Hamburg,8,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,9,Frankfurt,"(10.000654, 53.550341)","(8.6820917, 50.1106444)"
0,Hamburg,10,Bremen,"(10.000654, 53.550341)","(8.8071646, 53.0758196)"
0,Hamburg,11,Stuttgart,"(10.000654, 53.550341)","(9.1800132, 48.7784485)"
0,Hamburg,12,Frankfurt,"(10.000654, 53.550341)","(8.6820917, 50.1106444)"
0,Hamburg,13,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,14,Dresden,"(10.000654, 53.550341)","(13.7381437, 51.0493286)"
0,Hamburg,15,Munich,"(10.000654, 53.550341)","(11.5753822, 48.1371079)"
0,Hamburg,16,Berlin,"(10.000654, 53.550341)","(13.3888599, 52.5170365)"
0,Hamburg,17,Stuttgart,"(10.000654, 53.550341)","(9.1800132, 48.7784485)"
0,Hamburg,18,Munich,"(10.000654, 53.550341)","(11.5753822, 48.1371079)"
0,Hamburg,20,Berlin,"(10.000654, 53.550341)","(13.3888599, 52.5170365)"
0,Hamburg,21,Munich,"(10.000654, 53.550341)","(11.5753822, 48.1371079)"
0,Hamburg,22,Stuttgart,"(10.000654, 53.550341)","(9.1800132, 48.7784485)"
0,Hamburg,23,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,24,Dresden,"(10.000654, 53.550341)","(13.7381437, 51.0493286)"
0,Hamburg,25,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,27,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,28,Munich,"(10.000654, 53.550341)","(11.5753822, 48.1371079)"
0,Hamburg,30,Dresden,"(10.000654, 53.550341)","(13.7381437, 51.0493286)"
0,Hamburg,31,Berlin,"(10.000654, 53.550341)","(13.3888599, 52.5170365)"
0,Hamburg,33,Hamburg,"(10.000654, 53.550341)","(10.000654, 53.550341)"
0,Hamburg,34,Berlin,"(10.000654, 53.550341)","(13.3888599, 52.5170365)"
0,Hamburg,36,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,37,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,38,Leipzig,"(10.000654, 53.550341)","(12.3747329, 51.3406321)"
0,Hamburg,40,Munich,"(10.000654, 53.550341)","(11.5753822, 48.1371079)"
0,Hamburg,47,Dresden,"(10.000654, 53.550341)","(13.7381437, 51.0493286)"
0,Hamburg,49,Stuttgart,"(10.000654, 53.550341)","(9.1800132, 48.7784485)"
0,Hamburg,50,Munich,"(10.000654, 53.550341)","(11.5753822, 48.1371079)"
0,Hamburg,51,Dresden,"(10.000654, 53.550341)","(13.7381437, 51.0493286)"
0,Hamburg,56,Bremen,"(10.000654, 53.550341)","(8.8071646, 53.0758196)"
0,Hamburg,57,Munich,"(10.000654, 53.550341)","(11.5753822, 48.1371079)"
0,Hamburg,59,Dresden,"(10.000654, 53.550341)","(13.7381437, 51.0493286)"
