source,source_location,target,target_location,source_coordinates,target_coordinates
4,Cork,6,Cork,"(-8.4654674, 51.897077)","(-8.4654674, 51.897077)"
4,Cork,33,Glasgow,"(-8.4654674, 51.897077)","(-4.2501687, 55.861155)"
4,Cork,76,Cork,"(-8.4654674, 51.897077)","(-8.4654674, 51.897077)"
4,Cork,90,Plymouth,"(-8.4654674, 51.897077)","(-4.1424451, 50.3714122)"
6,Cork,68,Galway,"(-8.4654674, 51.897077)","(-9.0490601, 53.2744122)"
13,Plymouth,18,Aberdeen,"(-4.1424451, 50.3714122)","(-2.0928095, 57.1482429)"
13,Plymouth,26,Galway,"(-4.1424451, 50.3714122)","(-9.0490601, 53.2744122)"
13,Plymouth,49,London,"(-4.1424451, 50.3714122)","(-0.1277653, 51.5074456)"
13,Plymouth,56,London,"(-4.1424451, 50.3714122)","(-0.1277653, 51.5074456)"
13,Plymouth,68,Galway,"(-4.1424451, 50.3714122)","(-9.0490601, 53.2744122)"
13,Plymouth,73,Plymouth,"(-4.1424451, 50.3714122)","(-4.1424451, 50.3714122)"
13,Plymouth,81,Glasgow,"(-4.1424451, 50.3714122)","(-4.2501687, 55.861155)"
17,Manchester,69,Cork,"(-2.2451148, 53.4794892)","(-8.4654674, 51.897077)"
22,Dublin,40,Plymouth,"(-6.2605593, 53.3493795)","(-4.1424451, 50.3714122)"
22,Dublin,57,Manchester,"(-6.2605593, 53.3493795)","(-2.2451148, 53.4794892)"
25,Manchester,26,Galway,"(-2.2451148, 53.4794892)","(-9.0490601, 53.2744122)"
25,Manchester,63,Dublin,"(-2.2451148, 53.4794892)","(-6.2605593, 53.3493795)"
26,Galway,45,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
28,Galway,61,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
32,Dublin,50,Manchester,"(-6.2605593, 53.3493795)","(-2.2451148, 53.4794892)"
32,Dublin,60,London,"(-6.2605593, 53.3493795)","(-0.1277653, 51.5074456)"
33,Glasgow,39,Manchester,"(-4.2501687, 55.861155)","(-2.2451148, 53.4794892)"
33,Glasgow,76,Cork,"(-4.2501687, 55.861155)","(-8.4654674, 51.897077)"
45,Plymouth,81,Glasgow,"(-4.1424451, 50.3714122)","(-4.2501687, 55.861155)"
54,Aberdeen,84,Galway,"(-2.0928095, 57.1482429)","(-9.0490601, 53.2744122)"
54,Aberdeen,92,Aberdeen,"(-2.0928095, 57.1482429)","(-2.0928095, 57.1482429)"
60,London,66,Aberdeen,"(-0.1277653, 51.5074456)","(-2.0928095, 57.1482429)"
60,London,69,Cork,"(-0.1277653, 51.5074456)","(-8.4654674, 51.897077)"
