source,source_location,target,target_location,source_coordinates,target_coordinates
Madrid_3,Madrid,Lyon_8,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_4,Madrid,Paris_10,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_4,Madrid,Paris_11,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_4,Madrid,Paris_0,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_4,Madrid,Lyon_5,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_6,Madrid,Lyon_6,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_7,Madrid,Lyon_10,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Barcelona_0,Barcelona,Paris_2,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
Barcelona_1,Barcelona,Marseille_3,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
Barcelona_2,Barcelona,Marseille_8,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
Barcelona_6,Barcelona,Marseille_2,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
Barcelona_7,Barcelona,Paris_10,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
Barcelona_11,Barcelona,Lyon_8,Lyon,"(2.1774322, 41.3828939)","(4.8320114, 45.7578137)"
Barcelona_11,Barcelona,Marseille_3,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
Bilbao_1,Bilbao,Lyon_10,Lyon,"(-2.9350039, 43.2630018)","(4.8320114, 45.7578137)"
Bilbao_1,Bilbao,Paris_7,Paris,"(-2.9350039, 43.2630018)","(2.3483915, 48.8534951)"
Bilbao_5,Bilbao,Paris_5,Paris,"(-2.9350039, 43.2630018)","(2.3483915, 48.8534951)"
Bilbao_6,Bilbao,Paris_10,Paris,"(-2.9350039, 43.2630018)","(2.3483915, 48.8534951)"
Bilbao_6,Bilbao,Paris_2,Paris,"(-2.9350039, 43.2630018)","(2.3483915, 48.8534951)"
Bilbao_7,Bilbao,Lyon_10,Lyon,"(-2.9350039, 43.2630018)","(4.8320114, 45.7578137)"
Bilbao_8,Bilbao,Marseille_7,Marseille,"(-2.9350039, 43.2630018)","(5.3699525, 43.2961743)"
Bilbao_9,Bilbao,Lyon_0,Lyon,"(-2.9350039, 43.2630018)","(4.8320114, 45.7578137)"
Bilbao_9,Bilbao,Marseille_2,Marseille,"(-2.9350039, 43.2630018)","(5.3699525, 43.2961743)"
Bilbao_9,Bilbao,Paris_6,Paris,"(-2.9350039, 43.2630018)","(2.3483915, 48.8534951)"
Bilbao_11,Bilbao,Paris_0,Paris,"(-2.9350039, 43.2630018)","(2.3483915, 48.8534951)"
Berlin_1,Berlin,Danzig_11,Danzig,"(13.3888599, 52.5170365)","(18.6540233, 54.3482907)"
Berlin_2,Berlin,Wroclaw_2,Wroclaw,"(13.3888599, 52.5170365)","(17.0326689, 51.1089776)"
Berlin_7,Berlin,Danzig_5,Danzig,"(13.3888599, 52.5170365)","(18.6540233, 54.3482907)"
Berlin_11,Berlin,Danzig_7,Danzig,"(13.3888599, 52.5170365)","(18.6540233, 54.3482907)"
Berlin_11,Berlin,Wroclaw_2,Wroclaw,"(13.3888599, 52.5170365)","(17.0326689, 51.1089776)"
Berlin_11,Berlin,Wroclaw_0,Wroclaw,"(13.3888599, 52.5170365)","(17.0326689, 51.1089776)"
Hamburg_3,Hamburg,Wroclaw_9,Wroclaw,"(10.000654, 53.550341)","(17.0326689, 51.1089776)"
Hamburg_6,Hamburg,Wroclaw_1,Wroclaw,"(10.000654, 53.550341)","(17.0326689, 51.1089776)"
Hamburg_7,Hamburg,Danzig_8,Danzig,"(10.000654, 53.550341)","(18.6540233, 54.3482907)"
Leipzig_0,Leipzig,Danzig_6,Danzig,"(12.3747329, 51.3406321)","(18.6540233, 54.3482907)"
Leipzig_1,Leipzig,Wroclaw_7,Wroclaw,"(12.3747329, 51.3406321)","(17.0326689, 51.1089776)"
Leipzig_2,Leipzig,Danzig_9,Danzig,"(12.3747329, 51.3406321)","(18.6540233, 54.3482907)"
Leipzig_4,Leipzig,Krakow_0,Krakow,"(12.3747329, 51.3406321)","(19.9368564, 50.0619474)"
Leipzig_6,Leipzig,Wroclaw_5,Wroclaw,"(12.3747329, 51.3406321)","(17.0326689, 51.1089776)"
Leipzig_7,Leipzig,Krakow_6,Krakow,"(12.3747329, 51.3406321)","(19.9368564, 50.0619474)"
