source,source_location,target,target_location,source_coordinates,target_coordinates
0,Dresden,1,Leipzig,"(13.7381437, 51.0493286)","(12.3747329, 51.3406321)"
0,Dresden,2,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
0,Dresden,3,Leipzig,"(13.7381437, 51.0493286)","(12.3747329, 51.3406321)"
0,Dresden,4,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
0,Dresden,5,Frankfurt,"(13.7381437, 51.0493286)","(8.6820917, 50.1106444)"
0,Dresden,6,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
0,Dresden,7,Stuttgart,"(13.7381437, 51.0493286)","(9.1800132, 48.7784485)"
0,Dresden,8,Stuttgart,"(13.7381437, 51.0493286)","(9.1800132, 48.7784485)"
0,Dresden,9,Leipzig,"(13.7381437, 51.0493286)","(12.3747329, 51.3406321)"
0,Dresden,10,Leipzig,"(13.7381437, 51.0493286)","(12.3747329, 51.3406321)"
0,Dresden,11,Leipzig,"(13.7381437, 51.0493286)","(12.3747329, 51.3406321)"
0,Dresden,12,Stuttgart,"(13.7381437, 51.0493286)","(9.1800132, 48.7784485)"
0,Dresden,13,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
0,Dresden,14,Munich,"(13.7381437, 51.0493286)","(11.5753822, 48.1371079)"
0,Dresden,16,Dresden,"(13.7381437, 51.0493286)","(13.7381437, 51.0493286)"
0,Dresden,17,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
0,Dresden,20,Berlin,"(13.7381437, 51.0493286)","(13.3888599, 52.5170365)"
0,Dresden,21,Dresden,"(13.7381437, 51.0493286)","(13.7381437, 51.0493286)"
0,Dresden,26,Berlin,"(13.7381437, 51.0493286)","(13.3888599, 52.5170365)"
0,Dresden,31,Berlin,"(13.7381437, 51.0493286)","(13.3888599, 52.5170365)"
0,Dresden,32,Leipzig,"(13.7381437, 51.0493286)","(12.3747329, 51.3406321)"
0,Dresden,33,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
0,Dresden,34,Munich,"(13.7381437, 51.0493286)","(11.5753822, 48.1371079)"
0,Dresden,36,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
0,Dresden,37,Stuttgart,"(13.7381437, 51.0493286)","(9.1800132, 48.7784485)"
0,Dresden,50,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
