source,source_location,target,target_location,source_coordinates,target_coordinates
Madrid_0,Madrid,Lyon_9,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_1,Madrid,Marseille_4,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_1,Madrid,Paris_5,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_2,Madrid,Marseille_8,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_3,Madrid,Marseille_6,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_4,Madrid,Marseille_2,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_6,Madrid,Marseille_6,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_6,Madrid,Paris_6,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_8,Madrid,Marseille_8,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_8,Madrid,Lyon_7,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_8,Madrid,Paris_11,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_10,Madrid,Marseille_1,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_11,Madrid,Paris_8,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Barcelona_2,Barcelona,Marseille_11,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
Barcelona_3,Barcelona,Marseille_7,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
Barcelona_3,Barcelona,Marseille_0,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
Barcelona_6,Barcelona,Marseille_7,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
Barcelona_7,Barcelona,Marseille_6,Marseille,"(2.1774322, 41.3828939)","(5.3699525, 43.2961743)"
